,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MVCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,1,09:43,,0,,2 (+2),"GOOD JUMPER by STEWART,ABIGAIL",CENTRE-W 0-2 (+2),,"GOOD JUMPER by STEWART,ABIGAIL",1,jumper,good,Centre,abigail stewart,2,583
2,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,2,--,,,,,"ASSIST  by WILSON,KATHLEEN",,,"ASSIST  by WILSON,KATHLEEN",1,assist,,Centre,kathleen wilson,,
3,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,3,09:28,"GOOD JUMPER by HUDGENS,AMBER",2,,2,,MVCW 2-2 (0),,"GOOD JUMPER by HUDGENS,AMBER",1,jumper,good,maryville,amber hudgens,2,568
4,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,4,--,"ASSIST  by WANDELL,KELLEY",,,,,,,"ASSIST  by WANDELL,KELLEY",1,assist,,maryville,kelley wandell,,
5,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,5,09:13,,2,,4 (+2),"GOOD JUMPER by KELLAM,PAIGE",CENTRE-W 2-4 (+2),,"GOOD JUMPER by KELLAM,PAIGE",1,jumper,good,Centre,paige kellam,2,553
6,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,6,08:59,"GOOD JUMPER by GARDNER,LIBBY",4,,4,,MVCW 4-4 (0),,"GOOD JUMPER by GARDNER,LIBBY",1,jumper,good,maryville,libby gardner,2,539
7,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,7,--,"ASSIST  by HAWN,RACHEL",,,,,,,"ASSIST  by HAWN,RACHEL",1,assist,,maryville,rachel hawn,,
8,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,8,08:39,,,,,"MISS LAYUP by WILSON,KATHLEEN",,,"MISS LAYUP by WILSON,KATHLEEN",1,layup,missed,Centre,kathleen wilson,,519
9,2,maryville-tenn-,Maryville,Centre,86-76,86,76,"18, 23, 19, 26, 86","22, 14, 13, 27, 76",18,23,19,26,86,22,14,13,27,76,2-0,0-2,11/18/17,Win,81,No Location Recorded,3:00 PM,H,9,08:39,"BLOCK  by BILITER,LAUREN",,,,,,,"BLOCK  by BILITER,LAUREN",1,block,,maryville,lauren biliter,,519
