,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,ROCKFORD,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,15,--,"REBOUND DEF by RICE,MADISON",,,,,,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
16,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,16,08:31,"MISS 3PTR by WILSON,KATHLEEN",,,,,,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,511
17,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,17,--,,,,,"REBOUND DEF by HART,KATIE",,,"REBOUND DEF by HART,KATIE",1,defensive rebound,,rockford university,katie hart,,
18,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,18,08:23,,,,,"TURNOVER  by HART,KATIE",,,"TURNOVER  by HART,KATIE",1,turnover,,rockford university,katie hart,,503
19,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,19,08:21,"STEAL  by KELLAM,PAIGE",,,,,,,"STEAL  by KELLAM,PAIGE",1,steal,,Centre,,,501
20,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,20,08:17,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,497
21,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,21,08:17,"FOUL  by KELLAM,PAIGE",,,,,,,"FOUL  by KELLAM,PAIGE",1,foul,,Centre,paige kellam,,497
22,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,22,08:17,"SUB IN by BALLARD,AMI",,,,,,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,497
23,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,23,08:17,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,497
24,8,rockford,Centre College,Rockford University,62-48,62,48,"9, 28, 14, 11, 62","12, 10, 12, 14, 48",9,28,14,11,62,12,10,12,14,48,7-1,1-8,12/19/17,Win,91,No Location Recorded,4:00 AM,A,24,08:06,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,Centre,,,486
