,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HXW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,13,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
14,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,14,08:05,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,485
15,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,15,07:45,"FOUL  by STEWART,ABIGAIL",,,,,,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,465
16,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,16,07:45,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,465
17,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,17,07:45,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,465
18,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,18,07:39,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,459
19,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,19,07:39,,2,,3 (+1),"GOOD FT by DANIEL,VINESSA",HXW 2-3 (-1),,"GOOD FT by DANIEL,VINESSA",1,free throw,good,hendrix,vinessa daniel,1,459
20,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,20,07:39,,2,,4 (+2),"GOOD FT by DANIEL,VINESSA",HXW 2-4 (-2),,"GOOD FT by DANIEL,VINESSA",1,free throw,good,hendrix,vinessa daniel,1,459
21,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,21,07:39,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,459
22,16,hendrix,CENTRE-W,Hendrix,65-72,65,72,"12, 12, 19, 22, 65","13, 16, 15, 28, 72",12,12,19,22,65,13,16,15,28,72,"12-3, 3-2","11-5, 3-2",01/19/18,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,A,22,07:39,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,459
