,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,13,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
14,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,14,08:23,,5 (+2),,3,"GOOD 3PTR by TRIPLETT,JADA",OUW 5-3 (+2),,"GOOD 3PTR by TRIPLETT,JADA",1,three pointer,good,oglethorpe,jada triplett,3,503
15,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,15,--,,,,,"ASSIST  by LONG,SYDNEY",,,"ASSIST  by LONG,SYDNEY",1,assist,,oglethorpe,sydney long,,
16,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,16,08:03,"MISS LAYUP by STEWART,ABIGAIL",,,,,,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,483
17,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,17,--,,,,,"REBOUND DEF by RANSOM,LAUREN",,,"REBOUND DEF by RANSOM,LAUREN",1,defensive rebound,,oglethorpe,lauren ransom,,
18,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,18,07:47,"FOUL  by RICE,MADISON",,,,,,,"FOUL  by RICE,MADISON",1,foul,,Centre,madison rice,,467
19,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,19,07:47,,,,,"MISS FT by RANSOM,LAUREN",,,"MISS FT by RANSOM,LAUREN",1,free throw,missed,oglethorpe,lauren ransom,,467
20,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,20,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
21,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,21,07:47,,5 (+1),,4,"GOOD FT by RANSOM,LAUREN",OUW 5-4 (+1),,"GOOD FT by RANSOM,LAUREN",1,free throw,good,oglethorpe,lauren ransom,1,467
22,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,22,07:47,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,467
23,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,23,07:47,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,467
24,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,24,07:47,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,467
25,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,25,07:47,"SUB IN by MCINTOSH,MIKALIA",,,,,,,"SUB IN by MCINTOSH,MIKALIA",1,subbing in,,Centre,mikalia mcintosh,,467
26,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,26,07:47,"SUB OUT by MCINTOSH,MIKALIA",,,,,,,"SUB OUT by MCINTOSH,MIKALIA",1,subbing out,,Centre,mikalia mcintosh,,467
27,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,27,07:47,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,467
28,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,28,07:47,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,467
29,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,29,07:47,"SUB OUT by SCHAD,OLIVIA",,,,,,,"SUB OUT by SCHAD,OLIVIA",1,subbing out,,Centre,olivia schad,,467
30,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,30,07:37,"GOOD 3PTR by WILSON,KATHLEEN(fastbreak)",8 (+4),,4,,CENW 8-4 (+4),,"GOOD 3PTR by WILSON,KATHLEEN(fastbreak)",1,three pointer,good,Centre,kathleen(fastbreak) wilson,3,457
31,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,31,--,"ASSIST  by BALLARD,AMI",,,,,,,"ASSIST  by BALLARD,AMI",1,assist,,Centre,ami ballard,,
32,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,32,07:21,,,,,"MISS LAYUP by LEGATE,SAVANNAH",,,"MISS LAYUP by LEGATE,SAVANNAH",1,layup,missed,oglethorpe,savannah legate,,441
33,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,33,--,"REBOUND DEF by BUNNER,CHEYENNE",,,,,,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
34,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,34,06:59,"GOOD JUMPER by FEE,MIKAYLA",10 (+6),,4,,CENW 10-4 (+6),,"GOOD JUMPER by FEE,MIKAYLA",1,jumper,good,Centre,mikayla fee,2,419
35,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,35,--,"ASSIST  by BALLARD,AMI",,,,,,,"ASSIST  by BALLARD,AMI",1,assist,,Centre,ami ballard,,
36,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,36,06:42,,10 (+4),,6,"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",OUW 10-6 (+4),,"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",1,layup,good,oglethorpe,savannah legate,2,402
37,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,37,06:21,,,,,"FOUL  by LONG,SYDNEY",,,"FOUL  by LONG,SYDNEY",1,foul,,oglethorpe,sydney long,,381
38,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,38,06:21,"MISS FT by BALLARD,AMI",,,,,,,"MISS FT by BALLARD,AMI",1,free throw,missed,Centre,ami ballard,,381
39,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,39,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
40,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,40,06:21,"GOOD FT by BALLARD,AMI",11 (+5),,6,,CENW 11-6 (+5),,"GOOD FT by BALLARD,AMI",1,free throw,good,Centre,ami ballard,1,381
41,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,41,06:21,"SUB IN by WEHBY,ABIGAIL",,,,,,,"SUB IN by WEHBY,ABIGAIL",1,subbing in,,Centre,abigail wehby,,381
42,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,42,06:21,"SUB OUT by BALLARD,AMI",,,,,,,"SUB OUT by BALLARD,AMI",1,subbing out,,Centre,ami ballard,,381
43,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,43,06:21,,,,,"SUB IN by DYER,KARLYMARIE",,,"SUB IN by DYER,KARLYMARIE",1,subbing in,,oglethorpe,karlymarie dyer,,381
44,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,44,06:21,,,,,"SUB IN by DODSON,TAYLOR",,,"SUB IN by DODSON,TAYLOR",1,subbing in,,oglethorpe,taylor dodson,,381
45,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,45,06:21,,,,,"SUB IN by BURDGE,AUDREY",,,"SUB IN by BURDGE,AUDREY",1,subbing in,,oglethorpe,audrey burdge,,381
46,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,46,06:21,,,,,"SUB OUT by CHARLES,BAILEY",,,"SUB OUT by CHARLES,BAILEY",1,subbing out,,oglethorpe,bailey charles,,381
47,15,oglethorpe,Centre,Oglethorpe,44-53,44,53,"19, 9, 8, 8, 44","16, 9, 16, 12, 53",19,9,8,8,44,16,9,16,12,53,"12-3, 3-2 SAA","11-5, 4-1 SAA",01/14/18,Lose,350,No Location Recorded,1 p.m.,A,47,06:21,,,,,"SUB OUT by LEGATE,SAVANNAH",,,"SUB OUT by LEGATE,SAVANNAH",1,subbing out,,oglethorpe,savannah legate,,381
