,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,14,08:11,"MISS JUMPER by WEEMS,ALEX",,,,,,,"MISS JUMPER by WEEMS,ALEX",1,jumper,missed,berry college,alex weems,,491
15,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,15,08:11,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,491
16,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,16,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
17,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,17,07:58,,,,,"MISS 3PTR by WILSON,KATHLEEN",,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,478
18,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,18,--,"REBOUND DEF by SMITH,MCKENZIE",,,,,,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry college,mckenzie smith,,
19,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,19,07:52,"MISS 3PTR by SMITH,NIA",,,,,,,"MISS 3PTR by SMITH,NIA",1,three pointer,missed,berry college,nia smith,,472
20,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,20,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
21,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,21,07:52,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,472
22,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,22,07:52,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,472
23,22,berry,Berry College,Centre,62-40,62,40,"13, 18, 15, 16, 62","5, 18, 6, 11, 40",13,18,15,16,62,5,18,6,11,40,14-8 (4-7 SAA),10-12 (5-7 SAA),02/09/18,Win,165,No Location Recorded,6:00 PM,H,23,07:52,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,472
