,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,1,09:40,,,,,"TURNOVER  by SMITH,MARLEE",,,"TURNOVER  by SMITH,MARLEE",1,turnover,,sewanee,marlee smith,,580
2,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,2,09:21,"MISS 3PTR by RICE,MADISON",,,,,,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,561
3,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,3,--,"REBOUND OFF by SCHAD,OLIVIA",,,,,,,"REBOUND OFF by SCHAD,OLIVIA",1,offensive rebound,,Centre,olivia schad,,
4,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,4,09:14,"MISS JUMPER by KELLAM,PAIGE",,,,,,,"MISS JUMPER by KELLAM,PAIGE",1,jumper,missed,Centre,paige kellam,,554
5,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,5,--,"REBOUND OFF by RICE,MADISON",,,,,,,"REBOUND OFF by RICE,MADISON",1,offensive rebound,,Centre,madison rice,,
6,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,6,09:04,"GOOD LAYUP by RICE,MADISON(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by RICE,MADISON(in the paint)",1,layup,good,Centre,madison rice,2,544
7,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,7,08:54,,,,,"TURNOVER  by SMITH,MARLEE",,,"TURNOVER  by SMITH,MARLEE",1,turnover,,sewanee,marlee smith,,534
8,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,8,08:39,"GOOD JUMPER by WILSON,KATHLEEN",4 (+4),,0,,CENTRE-W 4-0 (+4),,"GOOD JUMPER by WILSON,KATHLEEN",1,jumper,good,Centre,kathleen wilson,2,519
9,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,9,08:18,,,,,"MISS LAYUP by TAYLOR,BELLA",,,"MISS LAYUP by TAYLOR,BELLA",1,layup,missed,sewanee,bella taylor,,498
10,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,10,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
11,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,11,08:07,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",6 (+6),,0,,CENTRE-W 6-0 (+6),,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail stewart,2,487
12,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,12,07:50,,6 (+4),,2,"GOOD JUMPER by MCCORMACK,HANNAH",SEWANEE 6-2 (+4),,"GOOD JUMPER by MCCORMACK,HANNAH",1,jumper,good,sewanee,hannah mccormack,2,470
13,7,sewanee,Centre,Sewanee,70-63,70,63,"23, 23, 9, 15, 70","10, 21, 13, 19, 63",23,23,9,15,70,10,21,13,19,63,"6-1, 1-0 SAA","2-4, 0-1 SAA",12/02/17,Win,139,No Location Recorded,1 p.m.,A,13,--,,,,,"ASSIST  by TAYLOR,BELLA",,,"ASSIST  by TAYLOR,BELLA",1,assist,,sewanee,bella taylor,,
