,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,1,09:41,,,,,"TURNOVER  by WEEMS,ALEX",,,"TURNOVER  by WEEMS,ALEX",1,turnover,,berry college,alex weems,,581
2,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,2,09:16,"GOOD 3PTR by WILSON,KATHLEEN",3 (+3),,0,,CENTRE-W 3-0 (+3),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,556
3,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,3,--,"ASSIST  by KELLAM,PAIGE",,,,,,,"ASSIST  by KELLAM,PAIGE",1,assist,,Centre,paige kellam,,
4,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,4,08:50,,3 (+1),,2,"GOOD JUMPER by SMITH,NIA",BCW 3-2 (+1),,"GOOD JUMPER by SMITH,NIA",1,jumper,good,berry college,nia smith,2,530
5,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,5,08:39,"TURNOVER  by KELLAM,PAIGE",,,,,,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,519
6,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,6,08:37,,,,,"STEAL  by PARSONS,EVELINE",,,"STEAL  by PARSONS,EVELINE",1,steal,,berry college,,,517
7,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,7,08:36,"FOUL  by STEWART,ABIGAIL",,,,,,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,516
8,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,8,08:36,,3,,3,"GOOD FT by SMITH,NIA",BCW 3-3 (0),,"GOOD FT by SMITH,NIA",1,free throw,good,berry college,nia smith,1,516
9,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,9,08:36,,3,,4 (+1),"GOOD FT by SMITH,NIA",BCW 3-4 (-1),,"GOOD FT by SMITH,NIA",1,free throw,good,berry college,nia smith,1,516
10,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,10,08:36,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,516
11,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,11,08:36,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,516
12,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,12,08:29,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,509
13,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,13,08:26,"SUB IN by BALLARD,AMI",,,,,,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,506
14,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,14,08:26,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,506
15,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,15,08:19,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,499
16,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,16,08:16,,,,,"STEAL  by SMITH,NIA",,,"STEAL  by SMITH,NIA",1,steal,,berry college,,,496
17,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,17,08:13,,,,,"MISS LAYUP by MCKEE,ASHLEY",,,"MISS LAYUP by MCKEE,ASHLEY",1,layup,missed,berry college,ashley mckee,,493
18,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,18,--,,,,,"REBOUND OFF by SMITH,MCKENZIE",,,"REBOUND OFF by SMITH,MCKENZIE",1,offensive rebound,,berry college,mckenzie smith,,
19,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,19,08:04,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,484
20,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,20,08:04,,,,,"MISS FT by SMITH,MCKENZIE",,,"MISS FT by SMITH,MCKENZIE",1,free throw,missed,berry college,mckenzie smith,,484
21,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,21,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
22,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,22,08:04,,3,,5 (+2),"GOOD FT by SMITH,MCKENZIE",BCW 3-5 (-2),,"GOOD FT by SMITH,MCKENZIE",1,free throw,good,berry college,mckenzie smith,1,484
23,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,23,08:04,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",1,subbing in,,Centre,ellen hicks,,484
24,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,24,08:04,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,484
25,14,berry,Centre,Berry College,53-63,53,63,"16, 11, 5, 21, 53","19, 12, 15, 17, 63",16,11,5,21,53,19,12,15,17,63,"12-2, 3-1","6-8, 1-3",01/12/18,Lose,532,No Location Recorded,6:00 PM,A,25,07:43,"TURNOVER  by WILSON,KATHLEEN",,,,,,,"TURNOVER  by WILSON,KATHLEEN",1,turnover,,Centre,kathleen wilson,,463
