,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,EC-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,15,07:45,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,465
16,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,16,07:45,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,465
17,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,17,07:45,"SUB OUT by KELLAM,PAIGE",,,,,,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,465
18,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,18,07:45,,,,,"SUB IN by NEWHART,ROSIE",,,"SUB IN by NEWHART,ROSIE",1,subbing in,,earlham college,rosie newhart,,465
19,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,19,07:45,,,,,"SUB IN by BOWLING,KAYLA",,,"SUB IN by BOWLING,KAYLA",1,subbing in,,earlham college,kayla bowling,,465
20,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,20,07:45,,,,,"SUB OUT by CURTIS,ZOE",,,"SUB OUT by CURTIS,ZOE",1,subbing out,,earlham college,zoe curtis,,465
21,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,21,07:45,,,,,"SUB OUT by SPEARS,KYNDALL",,,"SUB OUT by SPEARS,KYNDALL",1,subbing out,,earlham college,kyndall spears,,465
22,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,22,07:44,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,464
23,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,23,07:42,,,,,"STEAL  by WEISNER,AMY",,,"STEAL  by WEISNER,AMY",1,steal,,earlham college,,,462
24,5,earlham,Centre,Earlham College,74-56,74,56,"16, 12, 20, 26, 74","6, 11, 24, 15, 56",16,12,20,26,74,6,11,24,15,56,4-1,0-4,11/26/17,Win,223,No Location Recorded,4:00 PM,A,24,07:40,,,,,"MISS LAYUP by WEISNER,AMY",,,"MISS LAYUP by WEISNER,AMY",1,layup,missed,earlham college,amy weisner,,460
