,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,1,09:43,"GOOD 3PTR by DODSON,TAYLOR",3 (+3),,0,,OUW 3-0 (-3),,"GOOD 3PTR by DODSON,TAYLOR",1,three pointer,good,oglethorpe,taylor dodson,3,583
2,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,2,--,"ASSIST  by LEGATE,SAVANNAH",,,,,,,"ASSIST  by LEGATE,SAVANNAH",1,assist,,oglethorpe,savannah legate,,
3,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,3,09:24,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,564
4,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,4,--,"REBOUND DEF by DODSON,TAYLOR",,,,,,,"REBOUND DEF by DODSON,TAYLOR",1,defensive rebound,,oglethorpe,taylor dodson,,
5,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,5,09:04,"GOOD JUMPER by LEGATE,SAVANNAH(in the paint)",5 (+5),,0,,OUW 5-0 (-5),,"GOOD JUMPER by LEGATE,SAVANNAH(in the paint)",1,jumper,good,oglethorpe,savannah legate,2,544
6,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,6,--,"ASSIST  by LONG,SYDNEY",,,,,,,"ASSIST  by LONG,SYDNEY",1,assist,,oglethorpe,sydney long,,
7,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,7,08:37,"FOUL  by LEGATE,SAVANNAH",,,,,,,"FOUL  by LEGATE,SAVANNAH",1,foul,,oglethorpe,savannah legate,,517
8,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,8,08:29,,,,,"TURNOVER  by KELLAM,PAIGE",,,"TURNOVER  by KELLAM,PAIGE",1,turnover,,Centre,paige kellam,,509
9,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,9,08:28,"STEAL  by DYER,KARLYMARIE",,,,,,,"STEAL  by DYER,KARLYMARIE",1,steal,,oglethorpe,,,508
10,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,10,08:25,"GOOD LAYUP by CHARLES,BAILEY(fastbreak)(in the paint)",7 (+7),,0,,OUW 7-0 (-7),,"GOOD LAYUP by CHARLES,BAILEY(fastbreak)(in the paint)",1,layup,good,oglethorpe,bailey(fastbreak) charles,2,505
11,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,11,08:19,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,499
12,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,12,08:19,,,,,"SUB IN by BALLARD,AMI",,,"SUB IN by BALLARD,AMI",1,subbing in,,Centre,ami ballard,,499
13,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,13,08:19,,,,,"SUB OUT by KELLAM,PAIGE",,,"SUB OUT by KELLAM,PAIGE",1,subbing out,,Centre,paige kellam,,499
14,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,14,08:08,,,,,"MISS JUMPER by RICE,MADISON",,,"MISS JUMPER by RICE,MADISON",1,jumper,missed,Centre,madison rice,,488
15,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,15,--,,,,,"REBOUND OFF by STEWART,ABIGAIL",,,"REBOUND OFF by STEWART,ABIGAIL",1,offensive rebound,,Centre,abigail stewart,,
16,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,16,08:04,"FOUL  by DYER,KARLYMARIE",,,,,,,"FOUL  by DYER,KARLYMARIE",1,foul,,oglethorpe,karlymarie dyer,,484
17,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,17,08:03,,,,,"TURNOVER  by RICE,MADISON",,,"TURNOVER  by RICE,MADISON",1,turnover,,Centre,madison rice,,483
18,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,18,07:41,"MISS JUMPER by DYER,KARLYMARIE",,,,,,,"MISS JUMPER by DYER,KARLYMARIE",1,jumper,missed,oglethorpe,karlymarie dyer,,461
19,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,19,--,,,,,"REBOUND DEF by RICE,MADISON",,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
20,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,20,07:27,,7 (+5),,2,"GOOD JUMPER by WILSON,KATHLEEN(in the paint)",CENTRE-W 7-2 (-5),,"GOOD JUMPER by WILSON,KATHLEEN(in the paint)",1,jumper,good,Centre,kathleen wilson,2,447
21,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,21,07:08,"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",9 (+7),,2,,OUW 9-2 (-7),,"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",1,layup,good,oglethorpe,savannah legate,2,428
22,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,22,--,"ASSIST  by LONG,SYDNEY",,,,,,,"ASSIST  by LONG,SYDNEY",1,assist,,oglethorpe,sydney long,,
23,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,23,07:08,,,,,"FOUL  by STEWART,ABIGAIL",,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,428
24,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,24,07:08,"MISS FT by LEGATE,SAVANNAH",,,,,,,"MISS FT by LEGATE,SAVANNAH",1,free throw,missed,oglethorpe,savannah legate,,428
25,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,25,--,,,,,"REBOUND DEF by SCHAD,OLIVIA",,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
26,23,oglethorpe,Oglethorpe,Centre,52-65,52,65,"12, 12, 8, 20, 52","18, 11, 20, 16, 65",12,12,8,20,52,18,11,20,16,65,14-9 (5-8 SAA),18-6 (11-2 SAA),02/11/18,Lose,155,No Location Recorded,1:00 PM,H,26,07:08,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,428
