,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,13,06:54,,,,,"TURNOVER  by WILSON,KATHLEEN",,,"TURNOVER  by WILSON,KATHLEEN",1,turnover,,Centre,kathleen wilson,,414
14,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,14,06:50,"STEAL  by FUJII,MISA",,,,,,,"STEAL  by FUJII,MISA",1,steal,,birmingham-southern,,,410
15,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,15,06:29,"MISS JUMPER by HOGAN,KAITLIN",,,,,,,"MISS JUMPER by HOGAN,KAITLIN",1,jumper,missed,birmingham-southern,kaitlin hogan,,389
16,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,16,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
17,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,17,06:03,"FOUL  by MIDDLETON,LEAH",,,,,,,"FOUL  by MIDDLETON,LEAH",1,foul,,birmingham-southern,leah middleton,,363
18,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,18,06:03,"SUB IN by BLACK,DERIENNE",,,,,,,"SUB IN by BLACK,DERIENNE",1,subbing in,,birmingham-southern,derienne black,,363
19,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,19,06:03,"SUB OUT by MIDDLETON,LEAH",,,,,,,"SUB OUT by MIDDLETON,LEAH",1,subbing out,,birmingham-southern,leah middleton,,363
20,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,20,06:03,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,363
21,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,21,06:03,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,363
22,20,birmingham-southern,Birmingham-Southern,Centre,65-54,65,54,"10, 13, 23, 19, 65","7, 18, 16, 13, 54",10,13,23,19,65,7,18,16,13,54,10-10 (3-6 SAA),8-12 (5-4 SAA),01/27/19,Win,580,No Location Recorded,1:00 PM,H,22,06:03,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,363
