,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,14,08:58,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,538
15,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,15,08:58,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,538
16,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,16,08:49,,,,,"MISS LAYUP by CHARLES,BAILEY",,,"MISS LAYUP by CHARLES,BAILEY",1,layup,missed,oglethorpe,bailey charles,,529
17,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,17,--,,,,,"REBOUND OFF by CHARLES,BAILEY",,,"REBOUND OFF by CHARLES,BAILEY",1,offensive rebound,,oglethorpe,bailey charles,,
18,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,18,08:42,,,,,"MISS JUMPER by RANSOM,LAUREN",,,"MISS JUMPER by RANSOM,LAUREN",1,jumper,missed,oglethorpe,lauren ransom,,522
19,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,19,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
20,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,20,08:13,"GOOD 3PTR by WILSON,KATHLEEN",3 (+3),,0,,CC 3-0 (+3),,"GOOD 3PTR by WILSON,KATHLEEN",1,three pointer,good,Centre,kathleen wilson,3,493
21,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,21,07:49,,,,,"MISS LAYUP by REED,NIKKI",,,"MISS LAYUP by REED,NIKKI",1,layup,missed,oglethorpe,nikki reed,,469
22,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,22,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
23,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,23,07:28,,,,,"SUB IN by BURDGE,AUDREY",,,"SUB IN by BURDGE,AUDREY",1,subbing in,,oglethorpe,audrey burdge,,448
24,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,24,07:28,,,,,"SUB IN by TRIPLETT,JADA",,,"SUB IN by TRIPLETT,JADA",1,subbing in,,oglethorpe,jada triplett,,448
25,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,25,07:28,,,,,"SUB IN by LONG,SYDNEY",,,"SUB IN by LONG,SYDNEY",1,subbing in,,oglethorpe,sydney long,,448
26,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,26,07:28,,,,,"SUB OUT by SIMPSON,BROOKE",,,"SUB OUT by SIMPSON,BROOKE",1,subbing out,,oglethorpe,brooke simpson,,448
27,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,27,07:28,,,,,"SUB OUT by RANSOM,LAUREN",,,"SUB OUT by RANSOM,LAUREN",1,subbing out,,oglethorpe,lauren ransom,,448
28,15,oglethorpe,Centre,Oglethorpe,32-39,32,39,"10, 2, 13, 7, 32","8, 8, 7, 16, 39",10,2,13,7,32,8,8,7,16,39,"9-6, 2-2","12-3, 3-1",01/11/19,Lose,234,No Location Recorded,6:00 PM,A,28,07:28,,,,,"SUB OUT by REED,NIKKI",,,"SUB OUT by REED,NIKKI",1,subbing out,,oglethorpe,nikki reed,,448
