,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OU-W,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,14,07:36,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,456
15,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,15,07:36,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,456
16,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,16,07:13,,,,,"TURNOVER  by WEHBY,ABIGAIL",,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,433
17,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,17,06:58,"GOOD LAYUP by TRIPLETT,JADA(in the paint)",2 (+2),,0,,OU-W 2-0 (-2),,"GOOD LAYUP by TRIPLETT,JADA(in the paint)",1,layup,good,oglethorpe,jada triplett,2,418
18,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,18,--,"ASSIST  by SIMPSON,BROOKE",,,,,,,"ASSIST  by SIMPSON,BROOKE",1,assist,,oglethorpe,brooke simpson,,
19,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,19,06:27,,2,,2,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",CENTRE-W 2-2 (0),,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",1,layup,good,Centre,kathleen wilson,2,387
20,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,20,06:09,"MISS JUMPER by RANSOM,LAUREN",,,,,,,"MISS JUMPER by RANSOM,LAUREN",1,jumper,missed,oglethorpe,lauren ransom,,369
21,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,21,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
22,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,22,05:45,"SUB IN by HIGASHI,HAILEY",,,,,,,"SUB IN by HIGASHI,HAILEY",1,subbing in,,oglethorpe,hailey higashi,,345
23,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,23,05:45,"SUB IN by REED,NIKKI",,,,,,,"SUB IN by REED,NIKKI",1,subbing in,,oglethorpe,nikki reed,,345
24,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,24,05:45,"SUB IN by GRINDLE,MORGAN",,,,,,,"SUB IN by GRINDLE,MORGAN",1,subbing in,,oglethorpe,morgan grindle,,345
25,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,25,05:45,"SUB IN by LONG,SYDNEY",,,,,,,"SUB IN by LONG,SYDNEY",1,subbing in,,oglethorpe,sydney long,,345
26,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,26,05:45,"SUB OUT by TRIPLETT,JADA",,,,,,,"SUB OUT by TRIPLETT,JADA",1,subbing out,,oglethorpe,jada triplett,,345
27,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,27,05:45,"SUB OUT by SIMPSON,BROOKE",,,,,,,"SUB OUT by SIMPSON,BROOKE",1,subbing out,,oglethorpe,brooke simpson,,345
28,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,28,05:45,"SUB OUT by CHARLES,BAILEY",,,,,,,"SUB OUT by CHARLES,BAILEY",1,subbing out,,oglethorpe,bailey charles,,345
29,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,29,05:45,"SUB OUT by DYER,KARLYMARIE",,,,,,,"SUB OUT by DYER,KARLYMARIE",1,subbing out,,oglethorpe,karlymarie dyer,,345
30,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,30,05:45,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,345
31,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,31,05:45,,,,,"SUB IN by CHIRICO,PRESLEY",,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,345
32,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,32,05:45,,,,,"SUB IN by JENNINGS,RACHEL",,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,345
33,23,oglethorpe,Oglethorpe,Centre,43-53,43,53,"7, 10, 14, 12, 43","12, 11, 14, 16, 53",7,10,14,12,43,12,11,14,16,53,12-11 (5-7 SAA),18-5 (9-3 SAA),02/08/19,Lose,679,No Location Recorded,6:00 PM,H,33,05:45,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,345
