,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,TMU,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,15,07:22,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,442
16,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,16,07:22,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,442
17,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,17,07:22,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,442
18,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,18,07:22,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,442
19,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,19,07:22,,,,,"SUB IN by CLAPPER,KELLY",,,"SUB IN by CLAPPER,KELLY",1,subbing in,,thomas more,kelly clapper,,442
20,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,20,07:22,,,,,"SUB OUT by SCHULTZ,EMILY",,,"SUB OUT by SCHULTZ,EMILY",1,subbing out,,thomas more,emily schultz,,442
21,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,21,07:04,,2,,6 (+4),"GOOD LAYUP by RUPP,SHELBY(in the paint)",TMU 2-6 (-4),,"GOOD LAYUP by RUPP,SHELBY(in the paint)",1,layup,good,thomas more,shelby rupp,2,424
22,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,22,06:50,"SUB IN by MILLER,LAKKEN",,,,,,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,410
23,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,23,06:50,"SUB IN by MORRIS,TAYLOR",,,,,,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,410
24,12,thomas-more,Centre,Thomas More,51-81,51,81,"13, 9, 21, 8, 51","17, 23, 20, 21, 81",13,9,21,8,51,17,23,20,21,81,8-4,18-0,12/30/18,Lose,1026,No Location Recorded,2 p.m.,A,24,06:50,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,410
