,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,15,--,,,,,"REBOUND OFF by WILSON,KATHLEEN",,,"REBOUND OFF by WILSON,KATHLEEN",1,offensive rebound,,Centre,kathleen wilson,,
16,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,16,07:01,,3,,7 (+4),"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",CENTRE-W 3-7 (+4),,"GOOD LAYUP by WILSON,KATHLEEN(in the paint)",1,layup,good,Centre,kathleen wilson,2,421
17,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,17,06:30,"MISS JUMPER by HASSELL,JANAH",,,,,,,"MISS JUMPER by HASSELL,JANAH",1,jumper,missed,meredith,janah hassell,,390
18,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,18,--,"REBOUND OFF by SCHUH,KIMBERLY",,,,,,,"REBOUND OFF by SCHUH,KIMBERLY",1,offensive rebound,,meredith,kimberly schuh,,
19,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,19,06:10,"TURNOVER  by KING,KIRSTIE",,,,,,,"TURNOVER  by KING,KIRSTIE",1,turnover,,meredith,kirstie king,,370
20,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,20,06:01,,,,,"STEAL  by WEHBY,ABIGAIL",,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,361
21,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,21,05:59,,3,,9 (+6),"GOOD LAYUP by WEHBY,ABIGAIL(fastbreak)(in the paint)",CENTRE-W 3-9 (+6),,"GOOD LAYUP by WEHBY,ABIGAIL(fastbreak)(in the paint)",1,layup,good,Centre,abigail(fastbreak) wehby,2,359
22,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,22,05:35,"GOOD JUMPER by SCHUH,KIMBERLY",5,,9 (+4),,MER 5-9 (+4),,"GOOD JUMPER by SCHUH,KIMBERLY",1,jumper,good,meredith,kimberly schuh,2,335
23,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,23,--,"ASSIST  by COLEMAN,CAROLINE",,,,,,,"ASSIST  by COLEMAN,CAROLINE",1,assist,,meredith,caroline coleman,,
24,1,meredith,Meredith,Centre,59-48,59,48,"11, 9, 18, 21, 59","11, 10, 10, 17, 48",11,9,18,21,59,11,10,10,17,48,1-0,0-3,11/16/18,Win,173,No Location Recorded,7:00 PM,H,24,05:16,,,,,"TURNOVER  by STEWART,ABIGAIL",,,"TURNOVER  by STEWART,ABIGAIL",1,turnover,,Centre,abigail stewart,,316
