,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,14,07:54,,,,,"MISS JUMPER by MOODY,MACY",,,"MISS JUMPER by MOODY,MACY",1,jumper,missed,hendrix,macy moody,,474
15,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,15,--,"REBOUND DEF by MARCUM,MADISON",,,,,,,"REBOUND DEF by MARCUM,MADISON",1,defensive rebound,,Centre,madison marcum,,
16,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,16,07:44,"MISS 3PTR by WILSON,KATHLEEN",,,,,,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,464
17,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,17,--,,,,,"REBOUND DEF by JENKINS,KESSIE",,,"REBOUND DEF by JENKINS,KESSIE",1,defensive rebound,,hendrix,kessie jenkins,,
18,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,18,07:29,,,,,"MISS LAYUP by TURNER,AMBER",,,"MISS LAYUP by TURNER,AMBER",1,layup,missed,hendrix,amber turner,,449
19,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,19,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
20,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,20,07:24,"MISS 3PTR by WILSON,KATHLEEN",,,,,,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,444
21,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,21,--,,,,,"REBOUND DEF by ANDERSON,MADDIE",,,"REBOUND DEF by ANDERSON,MADDIE",1,defensive rebound,,hendrix,maddie anderson,,
22,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,22,07:15,,,,,"MISS LAYUP by MOODY,MACY",,,"MISS LAYUP by MOODY,MACY",1,layup,missed,hendrix,macy moody,,435
23,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,23,07:15,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,435
24,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,24,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
25,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,25,06:52,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,412
26,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,26,--,,,,,"REBOUND DEF by TURNER,AMBER",,,"REBOUND DEF by TURNER,AMBER",1,defensive rebound,,hendrix,amber turner,,
27,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,27,06:44,"FOUL  by WILSON,KATHLEEN",,,,,,,"FOUL  by WILSON,KATHLEEN",1,foul,,Centre,kathleen wilson,,404
28,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,28,06:44,,2 (+1),,1,"GOOD FT by TURNER,AMBER",HENDRIX 2-1 (+1),,"GOOD FT by TURNER,AMBER",1,free throw,good,hendrix,amber turner,1,404
29,22,hendrix,Centre,Hendrix,50-38,50,38,"14, 11, 10, 15, 50","5, 10, 10, 13, 38",14,11,10,15,50,5,10,10,13,38,"12-10, 5-6","9-13, 2-9",02/03/19,Win,123,No Location Recorded,12:00 PM,A,29,06:44,,,,,"MISS FT by TURNER,AMBER",,,"MISS FT by TURNER,AMBER",1,free throw,missed,hendrix,amber turner,,404
