,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,CC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,15,08:47,"GOOD 3PTR by LYLES,KEKE(fastbreak)",4 (+2),,2,,BU 4-2 (-2),,"GOOD 3PTR by LYLES,KEKE(fastbreak)",1,three pointer,good,belhaven,keke(fastbreak) lyles,3,527
16,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,16,--,"ASSIST  by JOHNSON,DESTINY",,,,,,,"ASSIST  by JOHNSON,DESTINY",1,assist,,belhaven,destiny johnson,,
17,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,17,08:33,,,,,"MISS 3PTR by WILSON,KAT",,,"MISS 3PTR by WILSON,KAT",1,three pointer,missed,Centre,kat wilson,,513
18,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,18,--,"REBOUND DEF by PAPENBURG,PEYTON",,,,,,,"REBOUND DEF by PAPENBURG,PEYTON",1,defensive rebound,,belhaven,peyton papenburg,,
19,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,19,08:25,,,,,"FOUL  by WILSON,KAT",,,"FOUL  by WILSON,KAT",1,foul,,Centre,kat wilson,,505
20,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,20,08:25,"GOOD FT by COLLIER,JANAE",5 (+3),,2,,BU 5-2 (-3),,"GOOD FT by COLLIER,JANAE",1,free throw,good,belhaven,janae collier,1,505
21,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,21,08:25,"GOOD FT by COLLIER,JANAE",6 (+4),,2,,BU 6-2 (-4),,"GOOD FT by COLLIER,JANAE",1,free throw,good,belhaven,janae collier,1,505
22,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,22,08:25,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,505
23,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,23,08:25,,,,,"SUB OUT by WILSON,KAT",,,"SUB OUT by WILSON,KAT",1,subbing out,,Centre,kat wilson,,505
24,8,belhaven,Belhaven,Centre,67-78,67,78,"19, 14, 18, 16, 67","22, 18, 17, 21, 78",19,14,18,16,67,22,18,17,21,78,3-5,7-1,12/16/19,Lose,101,No Location Recorded,4:00 PM,N,24,08:15,,6 (+2),,4,"GOOD LAYUP by HICKS,ELLEN(in the paint)",CC 6-4 (-2),,"GOOD LAYUP by HICKS,ELLEN(in the paint)",1,layup,good,Centre,ellen hicks,2,495
