,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,14,07:34,,,,,"MISS LAYUP by HICKS,ELLEN(in the paint)",,,"MISS LAYUP by HICKS,ELLEN(in the paint)",1,layup,missed,Centre,ellen hicks,,454
15,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,15,--,"REBOUND DEF by SMITH,MCKENZIE",,,,,,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry,mckenzie smith,,
16,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,16,07:04,"MISS JUMPER by SANDMAN,MADELINE",,,,,,,"MISS JUMPER by SANDMAN,MADELINE",1,jumper,missed,berry,madeline sandman,,424
17,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,17,--,,,,,"REBOUND DEF by FEE,MIKAYLA",,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
18,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,18,06:58,,4,,5 (+1),"GOOD JUMPER by FEE,MIKAYLA(in the paint)",Centre 4-5 (+1),,"GOOD JUMPER by FEE,MIKAYLA(in the paint)",1,jumper,good,Centre,mikayla fee,2,418
19,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,19,06:37,,,,,"FOUL  by WEHBY,ABIGAIL",,,"FOUL  by WEHBY,ABIGAIL",1,foul,,Centre,abigail wehby,,397
20,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,20,06:36,"MISS LAYUP by PARSONS,EVELINE(in the paint)",,,,,,,"MISS LAYUP by PARSONS,EVELINE(in the paint)",1,layup,missed,berry,eveline parsons,,396
21,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,21,06:36,,,,,"BLOCK  by WEHBY,ABIGAIL",,,"BLOCK  by WEHBY,ABIGAIL",1,block,,Centre,abigail wehby,,396
22,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,22,--,"REBOUND OFF by PARSONS,EVELINE",,,,,,,"REBOUND OFF by PARSONS,EVELINE",1,offensive rebound,,berry,eveline parsons,,
23,26,berry,Berry,Centre,64-53,64,53,"14, 14, 16, 20, 64","9, 14, 18, 12, 53",14,14,16,20,64,9,14,18,12,53,"16-10,9-5 SAA","12-14,6-8 SAA",02/23/20,Win,272,No Location Recorded,1:00 PM,H,23,06:29,"MISS LAYUP by PARSONS,EVELINE(in the paint)",,,,,,,"MISS LAYUP by PARSONS,EVELINE(in the paint)",1,layup,missed,berry,eveline parsons,,389
