,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,13,--,"REBOUND OFF by FEE,MIKAYLA",,,,,,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
14,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,14,08:11,"MISS LAYUP by FEE,MIKAYLA",,,,,,,"MISS LAYUP by FEE,MIKAYLA",1,layup,missed,Centre,mikayla fee,,491
15,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,15,--,"REBOUND OFF by HEROLD,PAYTON",,,,,,,"REBOUND OFF by HEROLD,PAYTON",1,offensive rebound,,Centre,payton herold,,
16,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,16,08:08,"GOOD LAYUP by HEROLD,PAYTON(in the paint)",4 (+1),,3,,CENTRE 4-3 (+1),,"GOOD LAYUP by HEROLD,PAYTON(in the paint)",1,layup,good,Centre,payton herold,2,488
17,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,17,07:52,,4,,5 (+1),"GOOD JUMPER by GUTIERREZ,ANISSA",HENDRIXW 4-5 (-1),,"GOOD JUMPER by GUTIERREZ,ANISSA",1,jumper,good,hendrix,anissa gutierrez,2,472
18,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,18,07:33,"GOOD LAYUP by JENNINGS,RACHEL(in the paint)",6 (+1),,5,,CENTRE 6-5 (+1),,"GOOD LAYUP by JENNINGS,RACHEL(in the paint)",1,layup,good,Centre,rachel jennings,2,453
19,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,19,07:24,,6,,7 (+1),"GOOD LAYUP by WENDT,CAROLINE(in the paint)",HENDRIXW 6-7 (-1),,"GOOD LAYUP by WENDT,CAROLINE(in the paint)",1,layup,good,hendrix,caroline wendt,2,444
20,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,20,07:06,"MISS LAYUP by JENNINGS,RACHEL",,,,,,,"MISS LAYUP by JENNINGS,RACHEL",1,layup,missed,Centre,rachel jennings,,426
21,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,21,--,,,,,"REBOUND DEF by JENKINS,KESSIE",,,"REBOUND DEF by JENKINS,KESSIE",1,defensive rebound,,hendrix,kessie jenkins,,
22,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,22,06:57,,,,,"MISS 3PTR by GUTIERREZ,ANISSA",,,"MISS 3PTR by GUTIERREZ,ANISSA",1,three pointer,missed,hendrix,anissa gutierrez,,417
23,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,23,--,,,,,"REBOUND OFF by JENKINS,KESSIE",,,"REBOUND OFF by JENKINS,KESSIE",1,offensive rebound,,hendrix,kessie jenkins,,
24,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,24,06:52,"FOUL  by HEROLD,PAYTON",,,,,,,"FOUL  by HEROLD,PAYTON",1,foul,,Centre,payton herold,,412
25,19,hendrix,Centre,Hendrix,73-59,73,59,"15, 25, 16, 17, 73","10, 16, 12, 21, 59",15,25,16,17,73,10,16,12,21,59,"11-8, 5-3 SAA","2-17, 0-8 SAA",01/24/20,Win,451,No Location Recorded,6:00 PM,A,25,06:52,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,412
