,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,14,07:29,,,,,"FOUL  by SANDMAN,MADELINE",,,"FOUL  by SANDMAN,MADELINE",1,foul,,berry,madeline sandman,,449
15,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,15,07:16,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,436
16,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,16,--,,,,,"REBOUND DEF by WASHINGTON,RAVEN",,,"REBOUND DEF by WASHINGTON,RAVEN",1,defensive rebound,,berry,raven washington,,
17,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,17,07:11,,,,,"MISS 3PTR by WASHINGTON,RAVEN",,,"MISS 3PTR by WASHINGTON,RAVEN",1,three pointer,missed,berry,raven washington,,431
18,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,18,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
19,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,19,06:49,"TURNOVER  by WEHBY,ABIGAIL",,,,,,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,409
20,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,20,06:42,"SUB OUT by WEHBY,ABIGAIL",,,,,,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,402
21,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,21,06:42,"SUB IN by JENNINGS,RACHEL",,,,,,,"SUB IN by JENNINGS,RACHEL",1,subbing in,,Centre,rachel jennings,,402
22,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,22,06:34,"FOUL  by JENNINGS,RACHEL",,,,,,,"FOUL  by JENNINGS,RACHEL",1,foul,,Centre,rachel jennings,,394
23,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,23,06:34,,2,,6 (+4),"GOOD FT by PARSONS,EVELINE",Berry 2-6 (-4),,"GOOD FT by PARSONS,EVELINE",1,free throw,good,berry,eveline parsons,1,394
24,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,24,06:34,,,,,"MISS FT by PARSONS,EVELINE",,,"MISS FT by PARSONS,EVELINE",1,free throw,missed,berry,eveline parsons,,394
25,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,25,--,"REBOUND DEF by FEE,MIKAYLA",,,,,,,"REBOUND DEF by FEE,MIKAYLA",1,defensive rebound,,Centre,mikayla fee,,
26,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,26,06:15,"MISS JUMPER by MURRAY,KYLEE",,,,,,,"MISS JUMPER by MURRAY,KYLEE",1,jumper,missed,Centre,kylee murray,,375
27,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,27,--,,,,,"REBOUND DEF by SMITH,MCKENZIE",,,"REBOUND DEF by SMITH,MCKENZIE",1,defensive rebound,,berry,mckenzie smith,,
28,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,28,05:50,"FOUL  by MURRAY,KYLEE",,,,,,,"FOUL  by MURRAY,KYLEE",1,foul,,Centre,kylee murray,,350
29,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,29,05:50,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,350
30,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,30,05:50,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,350
