,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
54,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,54,03:15,,,,,"MISS 3PTR by SANDMAN,MADELINE",,,"MISS 3PTR by SANDMAN,MADELINE",1,three pointer,missed,berry,madeline sandman,,195
55,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,55,--,"REBOUND DEF by HEROLD,PAYTON",,,,,,,"REBOUND DEF by HEROLD,PAYTON",1,defensive rebound,,Centre,payton herold,,
56,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,56,03:11,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,191
57,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,57,03:02,"SUB OUT by ROBERTS,BRIANNA",,,,,,,"SUB OUT by ROBERTS,BRIANNA",1,subbing out,,Centre,brianna roberts,,182
58,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,58,03:02,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,182
59,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,59,02:55,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",6,,11 (+5),,Centre 6-11 (-5),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",1,layup,good,Centre,mikayla fee,2,175
60,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,60,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
61,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,61,02:39,,,,,"MISS LAYUP by MORNING,JANA(in the paint)",,,"MISS LAYUP by MORNING,JANA(in the paint)",1,layup,missed,berry,jana morning,,159
62,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,62,--,,,,,"REBOUND OFF by SMITH,MCKENZIE",,,"REBOUND OFF by SMITH,MCKENZIE",1,offensive rebound,,berry,mckenzie smith,,
63,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,63,02:38,"FOUL  by FEE,MIKAYLA",,,,,,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,158
64,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,64,02:38,,6,,12 (+6),"GOOD FT by SMITH,MCKENZIE",Berry 6-12 (-6),,"GOOD FT by SMITH,MCKENZIE",1,free throw,good,berry,mckenzie smith,1,158
65,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,65,02:38,,,,,"MISS FT by SMITH,MCKENZIE",,,"MISS FT by SMITH,MCKENZIE",1,free throw,missed,berry,mckenzie smith,,158
66,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,66,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
67,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,67,02:38,"SUB OUT by JENNINGS,RACHEL",,,,,,,"SUB OUT by JENNINGS,RACHEL",1,subbing out,,Centre,rachel jennings,,158
68,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,68,02:38,"SUB OUT by FEE,MIKAYLA",,,,,,,"SUB OUT by FEE,MIKAYLA",1,subbing out,,Centre,mikayla fee,,158
69,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,69,02:38,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,158
70,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,70,02:38,"SUB IN by ROBERTS,BRIANNA",,,,,,,"SUB IN by ROBERTS,BRIANNA",1,subbing in,,Centre,brianna roberts,,158
71,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,71,02:30,"GOOD 3PTR by THACKER,JOSIE",9,,12 (+3),,Centre 9-12 (-3),,"GOOD 3PTR by THACKER,JOSIE",1,three pointer,good,Centre,josie thacker,3,150
72,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,72,--,"ASSIST  by HEROLD,PAYTON",,,,,,,"ASSIST  by HEROLD,PAYTON",1,assist,,Centre,payton herold,,
73,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,73,02:20,"FOUL  by ROBERTS,BRIANNA",,,,,,,"FOUL  by ROBERTS,BRIANNA",1,foul,,Centre,brianna roberts,,140
74,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,74,02:20,,,,,"SUB OUT by PARSONS,EVELINE",,,"SUB OUT by PARSONS,EVELINE",1,subbing out,,berry,eveline parsons,,140
75,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,75,02:20,,,,,"SUB IN by BLANKENSHIP,SYDNEY",,,"SUB IN by BLANKENSHIP,SYDNEY",1,subbing in,,berry,sydney blankenship,,140
76,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,76,02:20,"SUB OUT by HEROLD,PAYTON",,,,,,,"SUB OUT by HEROLD,PAYTON",1,subbing out,,Centre,payton herold,,140
77,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,77,02:20,"SUB IN by MARCUM,MADISON",,,,,,,"SUB IN by MARCUM,MADISON",1,subbing in,,Centre,madison marcum,,140
78,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,78,02:20,,,,,"MISS FT by SMITH,MCKENZIE",,,"MISS FT by SMITH,MCKENZIE",1,free throw,missed,berry,mckenzie smith,,140
79,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,79,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
80,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,80,02:20,,,,,"MISS FT by SMITH,MCKENZIE",,,"MISS FT by SMITH,MCKENZIE",1,free throw,missed,berry,mckenzie smith,,140
81,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,81,--,"REBOUND DEF by MARCUM,MADISON",,,,,,,"REBOUND DEF by MARCUM,MADISON",1,defensive rebound,,Centre,madison marcum,,
82,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,82,02:00,"GOOD JUMPER by WILSON,KAT(in the paint)",11,,12 (+1),,Centre 11-12 (-1),,"GOOD JUMPER by WILSON,KAT(in the paint)",1,jumper,good,Centre,kat wilson,2,120
83,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,83,01:37,,,,,"FOUL  by SMITH,MCKENZIE",,,"FOUL  by SMITH,MCKENZIE",1,foul,,berry,mckenzie smith,,97
84,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,84,01:37,,,,,"TURNOVER  by SMITH,MCKENZIE",,,"TURNOVER  by SMITH,MCKENZIE",1,turnover,,berry,mckenzie smith,,97
85,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,85,01:19,"TURNOVER  by WEHBY,ABIGAIL",,,,,,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,79
86,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,86,00:45,,11,,14 (+3),"GOOD LAYUP by SMITH,MCKENZIE(in the paint)",Berry 11-14 (-3),,"GOOD LAYUP by SMITH,MCKENZIE(in the paint)",1,layup,good,berry,mckenzie smith,2,45
87,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,87,--,,,,,"ASSIST  by MORNING,JANA",,,"ASSIST  by MORNING,JANA",1,assist,,berry,jana morning,,
88,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,88,00:27,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,27
89,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,89,--,"REBOUND OFF by MARCUM,MADISON",,,,,,,"REBOUND OFF by MARCUM,MADISON",1,offensive rebound,,Centre,madison marcum,,
90,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,90,00:17,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,17
91,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,91,--,,,,,"REBOUND DEF by SANDMAN,MADELINE",,,"REBOUND DEF by SANDMAN,MADELINE",1,defensive rebound,,berry,madeline sandman,,
92,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,92,00:08,,11,,16 (+5),"GOOD LAYUP by MORNING,JANA(in the paint)",Berry 11-16 (-5),,"GOOD LAYUP by MORNING,JANA(in the paint)",1,layup,good,berry,jana morning,2,8
93,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,93,Start Period 2,,,,,,,,,2,,,,,,
94,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,94,10:00,,,,,"SUB OUT by SMITH,MCKENZIE",,,"SUB OUT by SMITH,MCKENZIE",2,subbing out,,berry,mckenzie smith,,600
95,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,95,10:00,,,,,"SUB IN by FRAZIER,CAPRI",,,"SUB IN by FRAZIER,CAPRI",2,subbing in,,berry,capri frazier,,600
96,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,96,10:00,"SUB OUT by WILSON,KAT",,,,,,,"SUB OUT by WILSON,KAT",2,subbing out,,Centre,kat wilson,,600
97,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,97,10:00,"SUB OUT by ROBERTS,BRIANNA",,,,,,,"SUB OUT by ROBERTS,BRIANNA",2,subbing out,,Centre,brianna roberts,,600
98,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,98,10:00,"SUB OUT by MARCUM,MADISON",,,,,,,"SUB OUT by MARCUM,MADISON",2,subbing out,,Centre,madison marcum,,600
99,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,99,10:00,"SUB OUT by THACKER,JOSIE",,,,,,,"SUB OUT by THACKER,JOSIE",2,subbing out,,Centre,josie thacker,,600
100,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,100,10:00,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",2,subbing in,,Centre,kylee murray,,600
101,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,101,10:00,"SUB IN by HICKS,ELLEN",,,,,,,"SUB IN by HICKS,ELLEN",2,subbing in,,Centre,ellen hicks,,600
102,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,102,10:00,"SUB IN by HEROLD,PAYTON",,,,,,,"SUB IN by HEROLD,PAYTON",2,subbing in,,Centre,payton herold,,600
103,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,103,10:00,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",2,subbing in,,Centre,mikayla fee,,600
104,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,104,09:44,,,,,"MISS 3PTR by MORNING,JANA",,,"MISS 3PTR by MORNING,JANA",2,three pointer,missed,berry,jana morning,,584
105,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,105,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2,defensive rebound,,Centre,,,
106,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,106,09:20,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",13,,16 (+3),,Centre 13-16 (-3),,"GOOD LAYUP by FEE,MIKAYLA(in the paint)",2,layup,good,Centre,mikayla fee,2,560
107,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,107,--,"ASSIST  by HEROLD,PAYTON",,,,,,,"ASSIST  by HEROLD,PAYTON",2,assist,,Centre,payton herold,,
108,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,108,09:03,,,,,"MISS 3PTR by WASHINGTON,RAVEN",,,"MISS 3PTR by WASHINGTON,RAVEN",2,three pointer,missed,berry,raven washington,,543
109,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,109,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",2,defensive rebound,,Centre,kylee murray,,
110,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,110,08:49,"MISS LAYUP by WEHBY,ABIGAIL(in the paint)",,,,,,,"MISS LAYUP by WEHBY,ABIGAIL(in the paint)",2,layup,missed,Centre,abigail wehby,,529
111,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,111,--,,,,,"REBOUND DEF by WASHINGTON,RAVEN",,,"REBOUND DEF by WASHINGTON,RAVEN",2,defensive rebound,,berry,raven washington,,
112,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,112,08:42,,,,,"MISS JUMPER by FRAZIER,CAPRI",,,"MISS JUMPER by FRAZIER,CAPRI",2,jumper,missed,berry,capri frazier,,522
113,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,113,--,"REBOUND DEF by MURRAY,KYLEE",,,,,,,"REBOUND DEF by MURRAY,KYLEE",2,defensive rebound,,Centre,kylee murray,,
114,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,114,08:32,"TURNOVER  by HEROLD,PAYTON",,,,,,,"TURNOVER  by HEROLD,PAYTON",2,turnover,,Centre,payton herold,,512
115,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,115,08:32,,,,,"SUB OUT by SANDMAN,MADELINE",,,"SUB OUT by SANDMAN,MADELINE",2,subbing out,,berry,madeline sandman,,512
116,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,116,08:32,,,,,"SUB OUT by WASHINGTON,RAVEN",,,"SUB OUT by WASHINGTON,RAVEN",2,subbing out,,berry,raven washington,,512
117,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,117,08:32,,,,,"SUB IN by PARSONS,EVELINE",,,"SUB IN by PARSONS,EVELINE",2,subbing in,,berry,eveline parsons,,512
118,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,118,08:32,,,,,"SUB IN by MOORE,KENNEDY",,,"SUB IN by MOORE,KENNEDY",2,subbing in,,berry,kennedy moore,,512
119,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,119,08:32,"SUB OUT by HEROLD,PAYTON",,,,,,,"SUB OUT by HEROLD,PAYTON",2,subbing out,,Centre,payton herold,,512
120,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,120,08:32,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",2,subbing in,,Centre,kat wilson,,512
121,23,berry,Centre,Berry,49-44,49,44,"11, 9, 12, 17, 49","16, 7, 13, 8, 44",11,9,12,17,49,16,7,13,8,44,"14-9,8-4 SAA","11-12,5-7 SAA",02/07/20,Win,682,No Location Recorded,6:00 PM,A,121,08:16,,,,,"MISS LAYUP by MOORE,KENNEDY(in the paint)",,,"MISS LAYUP by MOORE,KENNEDY(in the paint)",2,layup,missed,berry,kennedy moore,,496
