,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,1,09:34,"TURNOVER  by WEHBY,ABIGAIL",,,,,,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,574
2,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,2,09:24,,,,,"TURNOVER  by SMITH,TAYLOR",,,"TURNOVER  by SMITH,TAYLOR",1,turnover,,oglethorpe,taylor smith,,564
3,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,3,09:08,"TURNOVER  by FEE,MIKAYLA",,,,,,,"TURNOVER  by FEE,MIKAYLA",1,turnover,,Centre,mikayla fee,,548
4,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,4,08:49,,,,,"MISS LAYUP by SMITH,TAYLOR",,,"MISS LAYUP by SMITH,TAYLOR",1,layup,missed,oglethorpe,taylor smith,,529
5,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,5,--,"REBOUND DEF by HICKS,ELLEN",,,,,,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
6,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,6,08:32,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,512
7,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,7,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
8,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,8,08:16,,0,,2 (+2),"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",OUW 0-2 (-2),,"GOOD LAYUP by LEGATE,SAVANNAH(in the paint)",1,layup,good,oglethorpe,savannah legate,2,496
9,24,oglethorpe,Centre,Oglethorpe,54-64,54,64,"17, 10, 20, 7, 54","16, 15, 17, 16, 64",17,10,20,7,54,16,15,17,16,64,"14-10, 8-5","23-1, 13-0",02/09/20,Lose,No Attendence Recorded,No Location Recorded,1 p.m.,A,9,--,,,,,"ASSIST  by SMITH,TAYLOR",,,"ASSIST  by SMITH,TAYLOR",1,assist,,oglethorpe,taylor smith,,
