,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,DYC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,16,07:49,"SUB OUT by MURRAY,KYLEE",,,,,,,"SUB OUT by MURRAY,KYLEE",1,subbing out,,Centre,kylee murray,,469
17,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,17,07:49,"SUB IN by WILSON,KAT",,,,,,,"SUB IN by WILSON,KAT",1,subbing in,,Centre,kat wilson,,469
18,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,18,07:48,,,,,"FOUL  by KIRISITS,HALEY(in the paint)",,,"FOUL  by KIRISITS,HALEY(in the paint)",1,foul,,d'youville,haley kirisits,,468
19,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,19,07:48,,,,,"SUB OUT by KRENZER,BECCA",,,"SUB OUT by KRENZER,BECCA",1,subbing out,,d'youville,becca krenzer,,468
20,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,20,07:48,,,,,"SUB IN by MCKEONE,BRIGID",,,"SUB IN by MCKEONE,BRIGID",1,subbing in,,d'youville,brigid mckeone,,468
21,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,21,07:48,"GOOD FT by FEE,MIKAYLA",6 (+6),,0,,CEN 6-0 (+6),,"GOOD FT by FEE,MIKAYLA",1,free throw,good,Centre,mikayla fee,1,468
22,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,22,07:48,"GOOD FT by FEE,MIKAYLA",7 (+7),,0,,CEN 7-0 (+7),,"GOOD FT by FEE,MIKAYLA",1,free throw,good,Centre,mikayla fee,1,468
23,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,23,07:45,,,,,"TURNOVER  by RIEDEL,RILEY",,,"TURNOVER  by RIEDEL,RILEY",1,turnover,,d'youville,riley riedel,,465
24,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,24,07:45,"STEAL  by WEHBY,ABIGAIL",,,,,,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,465
25,2,d-youville,Centre,D'Youville,56-34,56,34,"18, 12, 15, 11, 56","3, 6, 9, 16, 34",18,12,15,11,56,3,6,9,16,34,0,0,11/17/19,Win,156,No Location Recorded,0,N,25,07:36,"TURNOVER  by WILSON,KAT",,,,,,,"TURNOVER  by WILSON,KAT",1,turnover,,Centre,kat wilson,,456
