,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,13,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
14,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,14,07:19,,,,,"MISS JUMPER by BOMBASSI,BELLA",,,"MISS JUMPER by BOMBASSI,BELLA",1,jumper,missed,sewanee,bella bombassi,,439
15,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,15,--,"REBOUND DEF by HICKS,ELLEN",,,,,,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
16,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,16,06:59,"MISS JUMPER by FEE,MIKAYLA",,,,,,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,419
17,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,17,--,,,,,"REBOUND DEF by BOMBASSI,BELLA",,,"REBOUND DEF by BOMBASSI,BELLA",1,defensive rebound,,sewanee,bella bombassi,,
18,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,18,06:43,,7 (+2),,5,"GOOD JUMPER by BOMBASSI,BELLA",SEWANEE 7-5 (+2),,"GOOD JUMPER by BOMBASSI,BELLA",1,jumper,good,sewanee,bella bombassi,2,403
19,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,19,--,,,,,"ASSIST  by LOGAN,KINSLEY",,,"ASSIST  by LOGAN,KINSLEY",1,assist,,sewanee,kinsley logan,,
20,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,20,06:17,"GOOD 3PTR by MARCUM,MADISON",10 (+5),,5,,CENTRE-W 10-5 (+5),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,377
21,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,21,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
22,7,sewanee,Centre,Sewanee,50-57,50,57,"16, 9, 12, 13, 50","15, 12, 7, 23, 57",16,9,12,13,50,15,12,7,23,57,"3-4, 0-1 SAA","4-5, 1-0 SAA",12/07/19,Lose,169,No Location Recorded,1 p.m.,A,22,05:52,,,,,"MISS LAYUP by YOUNG,ABBY",,,"MISS LAYUP by YOUNG,ABBY",1,layup,missed,sewanee,abby young,,352
