,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,14,--,"REBOUND DEF by FORTENBERRY,DIA",,,,,,,"REBOUND DEF by FORTENBERRY,DIA",1,defensive rebound,,millsaps,dia fortenberry,,
15,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,15,07:52,"TURNOVER  by MANNING,TAELOR",,,,,,,"TURNOVER  by MANNING,TAELOR",1,turnover,,millsaps,taelor manning,,472
16,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,16,07:28,,,,,"MISS JUMPER by WILSON,KAT",,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,448
17,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,17,--,"REBOUND DEF by RAYFORD,ANDREA",,,,,,,"REBOUND DEF by RAYFORD,ANDREA",1,defensive rebound,,millsaps,andrea rayford,,
18,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,18,07:26,,,,,"FOUL  by HICKS,ELLEN",,,"FOUL  by HICKS,ELLEN",1,foul,,Centre,ellen hicks,,446
19,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,19,07:26,,,,,"SUB OUT by HICKS,ELLEN",,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,446
20,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,20,07:26,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,446
21,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,21,07:04,"MISS 3PTR by RAYFORD,ANDREA",,,,,,,"MISS 3PTR by RAYFORD,ANDREA",1,three pointer,missed,millsaps,andrea rayford,,424
22,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,22,--,"REBOUND OFF by WILSON,ANNA",,,,,,,"REBOUND OFF by WILSON,ANNA",1,offensive rebound,,millsaps,anna wilson,,
23,22,millsaps,Millsaps,Centre,58-48,58,48,"13, 16, 17, 12, 58","9, 12, 15, 12, 48",13,16,17,12,58,9,12,15,12,48,"13-9,7-4 SAA","9-13,3-8 SAA",02/02/20,Win,216,No Location Recorded,1:00 PM,H,23,07:00,"TURNOVER  by FORTENBERRY,DIA",,,,,,,"TURNOVER  by FORTENBERRY,DIA",1,turnover,,millsaps,dia fortenberry,,420
