,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,14,07:59,,,,,"FOUL  by CALDWELL,DEVAN",,,"FOUL  by CALDWELL,DEVAN",1,foul,,millsaps,devan caldwell,,479
15,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,15,07:59,"MISS FT by HICKS,ELLEN",,,,,,,"MISS FT by HICKS,ELLEN",1,free throw,missed,Centre,ellen hicks,,479
16,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,16,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
17,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,17,07:59,"MISS FT by HICKS,ELLEN",,,,,,,"MISS FT by HICKS,ELLEN",1,free throw,missed,Centre,ellen hicks,,479
18,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,18,--,,,,,"REBOUND DEF by FORTENBERRY,DIA",,,"REBOUND DEF by FORTENBERRY,DIA",1,defensive rebound,,millsaps,dia fortenberry,,
19,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,19,07:49,,,,,"TURNOVER  by MANNING,TAELOR",,,"TURNOVER  by MANNING,TAELOR",1,turnover,,millsaps,taelor manning,,469
20,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,20,07:49,"STEAL  by WEHBY,ABIGAIL",,,,,,,"STEAL  by WEHBY,ABIGAIL",1,steal,,Centre,,,469
21,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,21,07:36,"MISS JUMPER by WILSON,KAT",,,,,,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,456
22,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,22,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
23,14,millsaps,Centre,Millsaps,53-46,53,46,"14, 16, 5, 18, 53","5, 7, 18, 16, 46",14,16,5,18,53,5,7,18,16,46,"7-6,1-2 SAA","7-7,1-2 SAA",01/05/20,Win,114,No Location Recorded,12:00 PM,A,23,07:35,"SUB OUT by HICKS,ELLEN",,,,,,,"SUB OUT by HICKS,ELLEN",1,subbing out,,Centre,ellen hicks,,455
