,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,1,09:32,"MISS JUMPER by HICKS,ELLEN",,,,,,,"MISS JUMPER by HICKS,ELLEN",1,jumper,missed,Centre,ellen hicks,,572
2,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,2,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
3,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,3,09:14,,0,,2 (+2),"GOOD JUMPER by JENKINS,KESSIE(in the paint)",HENDRIX 0-2 (-2),,"GOOD JUMPER by JENKINS,KESSIE(in the paint)",1,jumper,good,hendrix,kessie jenkins,2,554
4,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,4,08:55,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,535
5,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,5,--,,,,,"REBOUND DEF by JENKINS,KESSIE",,,"REBOUND DEF by JENKINS,KESSIE",1,defensive rebound,,hendrix,kessie jenkins,,
6,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,6,08:33,,,,,"MISS JUMPER by JENKINS,KESSIE",,,"MISS JUMPER by JENKINS,KESSIE",1,jumper,missed,hendrix,kessie jenkins,,513
7,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,7,--,"REBOUND DEF by VINCENT,EMMA ROSE",,,,,,,"REBOUND DEF by VINCENT,EMMA ROSE",1,defensive rebound,,Centre,emma rose vincent,,
8,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,8,08:20,,,,,"FOUL  by JENKINS,KESSIE",,,"FOUL  by JENKINS,KESSIE",1,foul,,hendrix,kessie jenkins,,500
9,9,hendrix,Centre,Hendrix,60-70,60,70,"25, 7, 18, 10, 60","16, 23, 16, 15, 70",25,7,18,10,60,16,23,16,15,70,"3-6, 3-6 SAA","1-10, 1-10 SAA",03/05/21,Lose,10,No Location Recorded,6:00 PM CT,A,9,08:20,"FOUL  by ROBERTS,BRIANNA",,,,,,,"FOUL  by ROBERTS,BRIANNA",1,foul,,Centre,brianna roberts,,500
