,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,1,09:51,,,,,"MISS 3PTR by MARCUM,MADISON",,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,591
2,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,2,--,,,,,"REBOUND OFF by CHIRICO,PRESLEY",,,"REBOUND OFF by CHIRICO,PRESLEY",1,offensive rebound,,Centre,presley chirico,,
3,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,3,09:42,,,,,"TURNOVER  by CHIRICO,PRESLEY",,,"TURNOVER  by CHIRICO,PRESLEY",1,turnover,,Centre,presley chirico,,582
4,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,4,09:26,"MISS LAYUP by GILES,ANNA BETH(in the paint)",,,,,,,"MISS LAYUP by GILES,ANNA BETH(in the paint)",1,layup,missed,birmingham-so.,anna beth giles,,566
5,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,5,--,,,,,"REBOUND DEF by CHIRICO,PRESLEY",,,"REBOUND DEF by CHIRICO,PRESLEY",1,defensive rebound,,Centre,presley chirico,,
6,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,6,09:11,,0,,2 (+2),"GOOD JUMPER by CHIRICO,PRESLEY",Centre 0-2 (+2),,"GOOD JUMPER by CHIRICO,PRESLEY",1,jumper,good,Centre,presley chirico,2,551
7,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,7,--,,,,,"ASSIST  by MARCUM,MADISON",,,"ASSIST  by MARCUM,MADISON",1,assist,,Centre,madison marcum,,
8,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,8,09:01,"MISS 3PTR by MIDDLETON,LEAH",,,,,,,"MISS 3PTR by MIDDLETON,LEAH",1,three pointer,missed,birmingham-so.,leah middleton,,541
9,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,9,--,,,,,"REBOUND DEF by WEHBY,ABIGAIL",,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
10,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,10,08:48,,0,,4 (+4),"GOOD JUMPER by WEHBY,ABIGAIL(in the paint)",Centre 0-4 (+4),,"GOOD JUMPER by WEHBY,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail wehby,2,528
11,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,11,08:32,"MISS 3PTR by QUINTANA,CASSADY",,,,,,,"MISS 3PTR by QUINTANA,CASSADY",1,three pointer,missed,birmingham-so.,cassady quintana,,512
12,5,birmingham-southern,Birmingham-So.,Centre,85-83,85,83,"20, 26, 17, 22, 85","16, 26, 19, 22, 83",20,26,17,22,85,16,26,19,22,83,"1-4,1-4 SAA","2-8,0-5 SAA",02/05/21,Win,1,No Location Recorded,4:00 PM,H,12,--,,,,,"REBOUND DEF by WEHBY,ABIGAIL",,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
