,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,1,09:46,,,,,"MISS JUMPER by FORTENBERRY,DIA",,,"MISS JUMPER by FORTENBERRY,DIA",1,jumper,missed,millsaps,dia fortenberry,,586
2,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,2,--,,,,,"REBOUND OFF by FORTENBERRY,DIA",,,"REBOUND OFF by FORTENBERRY,DIA",1,offensive rebound,,millsaps,dia fortenberry,,
3,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,3,09:30,"FOUL  by THACKER,JOSIE",,,,,,,"FOUL  by THACKER,JOSIE",1,foul,,Centre,josie thacker,,570
4,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,4,09:30,,0,,1 (+1),"GOOD FT by FORTENBERRY,DIA",Mill 0-1 (-1),,"GOOD FT by FORTENBERRY,DIA",1,free throw,good,millsaps,dia fortenberry,1,570
5,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,5,09:30,,0,,2 (+2),"GOOD FT by FORTENBERRY,DIA",Mill 0-2 (-2),,"GOOD FT by FORTENBERRY,DIA",1,free throw,good,millsaps,dia fortenberry,1,570
6,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,6,09:15,"MISS JUMPER by THACKER,JOSIE",,,,,,,"MISS JUMPER by THACKER,JOSIE",1,jumper,missed,Centre,josie thacker,,555
7,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,7,09:15,,,,,"BLOCK  by ROE,HELENA",,,"BLOCK  by ROE,HELENA",1,block,,millsaps,helena roe,,555
8,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,8,--,,,,,"REBOUND DEF by ROE,HELENA",,,"REBOUND DEF by ROE,HELENA",1,defensive rebound,,millsaps,helena roe,,
9,4,millsaps,Centre,Millsaps,54-64,54,64,"18, 17, 12, 7, 54","8, 15, 28, 13, 64",18,17,12,7,54,8,15,28,13,64,"0-4,0-4 SAA","7-0,6-0 SAA",01/31/21,Lose,No Attendence Recorded,No Location Recorded,12:00 PM,A,9,09:08,,,,,"TURNOVER  by LASTER,MIKENZI",,,"TURNOVER  by LASTER,MIKENZI",1,turnover,,millsaps,mikenzi laster,,548
