,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,1,09:36,"GOOD JUMPER by HICKS,ELLEN",2 (+2),,0,,Centre 2-0 (+2),,"GOOD JUMPER by HICKS,ELLEN",1,jumper,good,Centre,ellen hicks,2,576
2,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,2,--,"ASSIST  by HEROLD,PAYTON",,,,,,,"ASSIST  by HEROLD,PAYTON",1,assist,,Centre,payton herold,,
3,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,3,09:16,,2,,2,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",Mill 2-2 (0),,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",1,layup,good,millsaps,dia fortenberry,2,556
4,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,4,08:47,"TURNOVER  by WEHBY,ABIGAIL",,,,,,,"TURNOVER  by WEHBY,ABIGAIL",1,turnover,,Centre,abigail wehby,,527
5,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,5,08:34,,2,,4 (+2),"GOOD JUMPER by KING,BRIASHA",Mill 2-4 (-2),,"GOOD JUMPER by KING,BRIASHA",1,jumper,good,millsaps,briasha king,2,514
6,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,6,08:18,"TURNOVER  by HICKS,ELLEN",,,,,,,"TURNOVER  by HICKS,ELLEN",1,turnover,,Centre,ellen hicks,,498
7,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,7,08:18,,,,,"STEAL  by KING,BRIASHA",,,"STEAL  by KING,BRIASHA",1,steal,,millsaps,,,498
8,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,8,08:06,,,,,"TURNOVER  by FORTENBERRY,DIA",,,"TURNOVER  by FORTENBERRY,DIA",1,turnover,,millsaps,dia fortenberry,,486
9,11,millsaps,Centre,Millsaps,42-58,42,58,"13, 10, 8, 11, 42","12, 20, 15, 11, 58",13,10,8,11,42,12,20,15,11,58,"4-7,4-6 SAA","12-1,10-1 SAA",03/12/21,Lose,No Attendence Recorded,No Location Recorded,4:00 PM,A,9,07:39,"GOOD 3PTR by MARCUM,MADISON",5 (+1),,4,,Centre 5-4 (+1),,"GOOD 3PTR by MARCUM,MADISON",1,three pointer,good,Centre,madison marcum,3,459
