,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,1,09:30,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,570
2,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,2,--,,,,,"REBOUND OFF by VINCENT,EMMA ROSE",,,"REBOUND OFF by VINCENT,EMMA ROSE",1,offensive rebound,,Centre,emma rose vincent,,
3,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,3,09:29,"FOUL  by MORNING,JANA",,,,,,,"FOUL  by MORNING,JANA",1,foul,,berry,jana morning,,569
4,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,4,09:18,,,,,"MISS JUMPER by WEHBY,ABIGAIL",,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,558
5,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,5,--,"REBOUND DEF by WASHINGTON,RAVEN",,,,,,,"REBOUND DEF by WASHINGTON,RAVEN",1,defensive rebound,,berry,raven washington,,
6,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,6,09:05,"MISS 3PTR by WASHINGTON,RAVEN",,,,,,,"MISS 3PTR by WASHINGTON,RAVEN",1,three pointer,missed,berry,raven washington,,545
7,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,7,--,"REBOUND OFF by BLANKENSHIP,SYDNEY",,,,,,,"REBOUND OFF by BLANKENSHIP,SYDNEY",1,offensive rebound,,berry,sydney blankenship,,
8,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,8,08:59,"MISS LAYUP by BLANKENSHIP,SYDNEY(in the paint)",,,,,,,"MISS LAYUP by BLANKENSHIP,SYDNEY(in the paint)",1,layup,missed,berry,sydney blankenship,,539
9,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,9,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
10,8,berry,Berry,Centre,52-63,52,63,"11, 14, 13, 14, 52","23, 11, 16, 13, 63",11,14,13,14,52,23,11,16,13,63,"3-5,3-5 SAA","3-6,3-5 SAA",02/14/21,Lose,1,No Location Recorded,1:00 PM,H,10,08:45,,,,,"MISS LAYUP by HICKS,ELLEN(in the paint)",,,"MISS LAYUP by HICKS,ELLEN(in the paint)",1,layup,missed,Centre,ellen hicks,,525
