,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,1,09:32,"MISS JUMPER by CHIRICO,PRESLEY",,,,,,,"MISS JUMPER by CHIRICO,PRESLEY",1,jumper,missed,Centre,presley chirico,,572
2,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,2,--,,,,,"REBOUND DEF by FORTENBERRY,DIA",,,"REBOUND DEF by FORTENBERRY,DIA",1,defensive rebound,,millsaps,dia fortenberry,,
3,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,3,09:16,"FOUL  by THACKER,JOSIE",,,,,,,"FOUL  by THACKER,JOSIE",1,foul,,Centre,josie thacker,,556
4,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,4,09:16,,,,,"MISS FT by FORTENBERRY,DIA",,,"MISS FT by FORTENBERRY,DIA",1,free throw,missed,millsaps,dia fortenberry,,556
5,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,5,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
6,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,6,09:16,,0,,1 (+1),"GOOD FT by FORTENBERRY,DIA",Mill 0-1 (-1),,"GOOD FT by FORTENBERRY,DIA",1,free throw,good,millsaps,dia fortenberry,1,556
7,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,7,09:13,,,,,"FOUL  by SIMS,EMILY",,,"FOUL  by SIMS,EMILY",1,foul,,millsaps,emily sims,,553
8,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,8,09:03,"TURNOVER  by THACKER,JOSIE",,,,,,,"TURNOVER  by THACKER,JOSIE",1,turnover,,Centre,josie thacker,,543
9,3,millsaps,Centre,Millsaps,40-68,40,68,"11, 11, 14, 4, 40","18, 15, 16, 19, 68",11,11,14,4,40,18,15,16,19,68,"0-3,0-3 SAA","6-0,5-0 SAA",01/30/21,Lose,72,No Location Recorded,1:00 PM,A,9,08:53,"FOUL  by MARCUM,MADISON",,,,,,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,533
