,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,1,09:38,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1,turnover,,Centre,,,578
2,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,2,09:13,,,,,"MISS JUMPER by WEHBY,ABIGAIL(in the paint)",,,"MISS JUMPER by WEHBY,ABIGAIL(in the paint)",1,jumper,missed,Centre,abigail wehby,,553
3,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,3,--,"REBOUND DEF by TAYLOR,CAROLINE",,,,,,,"REBOUND DEF by TAYLOR,CAROLINE",1,defensive rebound,,rhodes,caroline taylor,,
4,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,4,09:01,"GOOD 3PTR by HAGEN,ELLEN",3 (+3),,0,,Rhodes 3-0 (-3),,"GOOD 3PTR by HAGEN,ELLEN",1,three pointer,good,rhodes,ellen hagen,3,541
5,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,5,--,"ASSIST  by TAYLOR,CAROLINE",,,,,,,"ASSIST  by TAYLOR,CAROLINE",1,assist,,rhodes,caroline taylor,,
6,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,6,08:48,,,,,"MISS JUMPER by HICKS,ELLEN(in the paint)",,,"MISS JUMPER by HICKS,ELLEN(in the paint)",1,jumper,missed,Centre,ellen hicks,,528
7,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,7,--,"REBOUND DEF by DOWNEY,KIERA",,,,,,,"REBOUND DEF by DOWNEY,KIERA",1,defensive rebound,,rhodes,kiera downey,,
8,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,8,08:42,"MISS JUMPER by TAYLOR,CAROLINE(in the paint)",,,,,,,"MISS JUMPER by TAYLOR,CAROLINE(in the paint)",1,jumper,missed,rhodes,caroline taylor,,522
9,1,rhodes,Rhodes,Centre,49-63,49,63,"6, 13, 15, 15, 49","12, 9, 21, 21, 63",6,13,15,15,49,12,9,21,21,63,"0-1,0-1 SAA","3-0,3-0 SAA",01/22/21,Lose,No Attendence Recorded,No Location Recorded,6:00 PM,H,9,--,,,,,"REBOUND DEF by HICKS,ELLEN",,,"REBOUND DEF by HICKS,ELLEN",1,defensive rebound,,Centre,ellen hicks,,
