,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,1,09:43,,0,,2 (+2),"GOOD LAYUP by FREEMAN,KALA-JEWEL(in the paint)",MILLSAPS 0-2 (-2),,"GOOD LAYUP by FREEMAN,KALA-JEWEL(in the paint)",1,layup,good,millsaps,kala-jewel freeman,2,583
2,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,2,09:25,"TURNOVER  by VANCE,DAY",,,,,,,"TURNOVER  by VANCE,DAY",1,turnover,,Centre,day vance,,565
3,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,3,09:04,,,,,"TURNOVER  by FREEMAN,KALA-JEWEL",,,"TURNOVER  by FREEMAN,KALA-JEWEL",1,turnover,,millsaps,kala-jewel freeman,,544
4,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,4,08:38,"MISS 3PTR by ANDREASSEN,CAROLINE",,,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,518
5,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,5,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
6,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,6,08:23,,,,,"MISS LAYUP by FREEMAN,KALA-JEWEL",,,"MISS LAYUP by FREEMAN,KALA-JEWEL",1,layup,missed,millsaps,kala-jewel freeman,,503
7,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,7,08:23,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,503
8,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,8,--,,,,,"REBOUND OFF by KLUNK,KIM",,,"REBOUND OFF by KLUNK,KIM",1,offensive rebound,,millsaps,kim klunk,,
9,18,millsaps,CENTRE-W,Millsaps,40-71,40,71,"11, 10, 13, 6, 40","19, 18, 12, 22, 71",11,10,13,6,40,19,18,12,22,71,"5-13,3-4","12-6,5-2",01/22/17,Lose,100,No Location Recorded,12:00 PM,A,9,08:14,,,,,"TURNOVER  by KLUNK,KIM",,,"TURNOVER  by KLUNK,KIM",1,turnover,,millsaps,kim klunk,,494
