,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,1,09:52,"MISS JUMPER by TRIPLETT,JADA",,,,,,,"MISS JUMPER by TRIPLETT,JADA",1,jumper,missed,oglethorpe,jada triplett,,592
2,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,2,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
3,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,3,09:33,,,,,"MISS JUMPER by SCHAD,OLIVIA",,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,573
4,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,4,--,,,,,"REBOUND OFF by ANDREASSEN,CAROLINE",,,"REBOUND OFF by ANDREASSEN,CAROLINE",1,offensive rebound,,Centre,caroline andreassen,,
5,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,5,09:25,,,,,"MISS 3PTR by SCHAD,OLIVIA",,,"MISS 3PTR by SCHAD,OLIVIA",1,three pointer,missed,Centre,olivia schad,,565
6,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,6,--,,,,,"REBOUND OFF by VANCE,DAY",,,"REBOUND OFF by VANCE,DAY",1,offensive rebound,,Centre,day vance,,
7,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,7,09:20,,,,,"MISS JUMPER by VANCE,DAY",,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,560
8,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,8,--,"REBOUND DEF by DYER,KARLYMARIE",,,,,,,"REBOUND DEF by DYER,KARLYMARIE",1,defensive rebound,,oglethorpe,karlymarie dyer,,
9,21,oglethorpe,Oglethorpe,Centre,45-57,45,57,"11, 7, 16, 11, 45","10, 21, 12, 14, 57",11,7,16,11,45,10,21,12,14,57,"6-15, 4-6 SAA","13-6, 7-3 SAA",02/03/17,Lose,162,No Location Recorded,6:00 PM,H,9,09:12,"MISS 3PTR by DYER,KARLYMARIE",,,,,,,"MISS 3PTR by DYER,KARLYMARIE",1,three pointer,missed,oglethorpe,karlymarie dyer,,552
