,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,1,09:44,"MISS 3PTR by ANDREASSEN,CAROLINE",,,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,584
2,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,2,--,,,,,"REBOUND DEF by DEERY,ERIN",,,"REBOUND DEF by DEERY,ERIN",1,defensive rebound,,rhodes,erin deery,,
3,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,3,09:15,,0,,2 (+2),"GOOD JUMPER by YOUNG,ALLIE",RHO 0-2 (-2),,"GOOD JUMPER by YOUNG,ALLIE",1,jumper,good,rhodes,allie young,2,555
4,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,4,--,,,,,"ASSIST  by USTICK,JESSIE",,,"ASSIST  by USTICK,JESSIE",1,assist,,rhodes,jessie ustick,,
5,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,5,08:55,"GOOD LAYUP by VANCE,DAY(in the paint)",2,,2,,CEN 2-2 (0),,"GOOD LAYUP by VANCE,DAY(in the paint)",1,layup,good,Centre,day vance,2,535
6,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,6,--,"ASSIST  by SCHAD,OLIVIA",,,,,,,"ASSIST  by SCHAD,OLIVIA",1,assist,,Centre,olivia schad,,
7,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,7,08:39,,,,,"MISS LAYUP by YOUNG,ALLIE",,,"MISS LAYUP by YOUNG,ALLIE",1,layup,missed,rhodes,allie young,,519
8,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,8,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
9,23,rhodes,Centre College,Rhodes,37-61,37,61,"12, 9, 9, 7, 37","11, 13, 22, 15, 61",12,9,9,7,37,11,13,22,15,61,"6-17, 4-8 SAA","5-18, 4-8 SAA",02/10/17,Lose,277,No Location Recorded,6:00 PM,A,9,08:22,"MISS JUMPER by VANCE,DAY",,,,,,,"MISS JUMPER by VANCE,DAY",1,jumper,missed,Centre,day vance,,502
