,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,1,09:31,,,,,"MISS 3PTR by MILLER,LAKKEN",,,"MISS 3PTR by MILLER,LAKKEN",1,three pointer,missed,Centre,lakken miller,,571
2,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,2,--,"REBOUND DEF by LYNCH,ROSIE",,,,,,,"REBOUND DEF by LYNCH,ROSIE",1,defensive rebound,,berry college,rosie lynch,,
3,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,3,09:11,"MISS JUMPER by WEEMS,ALEX",,,,,,,"MISS JUMPER by WEEMS,ALEX",1,jumper,missed,berry college,alex weems,,551
4,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,4,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
5,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,5,09:05,,,,,"MISS LAYUP by MILLER,LAKKEN",,,"MISS LAYUP by MILLER,LAKKEN",1,layup,missed,Centre,lakken miller,,545
6,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,6,--,,,,,"REBOUND OFF by MILLER,LAKKEN",,,"REBOUND OFF by MILLER,LAKKEN",1,offensive rebound,,Centre,lakken miller,,
7,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,7,08:41,,,,,"MISS JUMPER by SCHAD,OLIVIA",,,"MISS JUMPER by SCHAD,OLIVIA",1,jumper,missed,Centre,olivia schad,,521
8,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,8,--,,,,,"REBOUND OFF by SCHAD,OLIVIA",,,"REBOUND OFF by SCHAD,OLIVIA",1,offensive rebound,,Centre,olivia schad,,
9,22,berry,Berry College,Centre,42-67,42,67,"11, 7, 16, 8, 42","7, 21, 17, 22, 67",11,7,16,8,42,7,21,17,22,67,"6-16, 4-7 SAA","9-13, 3-8 SAA",02/05/17,Lose,475,No Location Recorded,1:00 PM,H,9,08:31,,0,,2 (+2),"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",CENTRE-W 0-2 (+2),,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail stewart,2,511
