,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,1,09:32,,,,,"MISS JUMPER by BODE,HAILEY",,,"MISS JUMPER by BODE,HAILEY",1,jumper,missed,hendrix,hailey bode,,572
2,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,2,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
3,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,3,09:16,"MISS 3PTR by SCHAD,OLIVIA",,,,,,,"MISS 3PTR by SCHAD,OLIVIA",1,three pointer,missed,Centre,olivia schad,,556
4,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,4,--,,,,,"REBOUND DEF by DYSLIN,SARA",,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
5,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,5,08:50,,,,,"MISS JUMPER by TURNER,AMBER",,,"MISS JUMPER by TURNER,AMBER",1,jumper,missed,hendrix,amber turner,,530
6,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,6,--,"REBOUND DEF by VANCE,DAY",,,,,,,"REBOUND DEF by VANCE,DAY",1,defensive rebound,,Centre,day vance,,
7,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,7,08:35,"MISS LAYUP by SCHAD,OLIVIA",,,,,,,"MISS LAYUP by SCHAD,OLIVIA",1,layup,missed,Centre,olivia schad,,515
8,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,8,--,,,,,"REBOUND DEF by DYSLIN,SARA",,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
9,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,9,08:09,,,,,"MISS JUMPER by SMITH,LEAH",,,"MISS JUMPER by SMITH,LEAH",1,jumper,missed,hendrix,leah smith,,489
10,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,10,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
11,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,11,08:06,,,,,"SUB IN by BOEHL,LEAH",,,"SUB IN by BOEHL,LEAH",1,subbing in,,hendrix,leah boehl,,486
12,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,12,08:06,,,,,"SUB IN by TIBBITS,JORDAN",,,"SUB IN by TIBBITS,JORDAN",1,subbing in,,hendrix,jordan tibbits,,486
13,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,13,08:06,,,,,"SUB OUT by BODE,HAILEY",,,"SUB OUT by BODE,HAILEY",1,subbing out,,hendrix,hailey bode,,486
14,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,14,08:06,,,,,"SUB OUT by SMITH,LEAH",,,"SUB OUT by SMITH,LEAH",1,subbing out,,hendrix,leah smith,,486
15,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,15,07:37,"MISS LAYUP by VANCE,DAY",,,,,,,"MISS LAYUP by VANCE,DAY",1,layup,missed,Centre,day vance,,457
16,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,16,--,,,,,"REBOUND DEF by DYSLIN,SARA",,,"REBOUND DEF by DYSLIN,SARA",1,defensive rebound,,hendrix,sara dyslin,,
17,24,hendrix,Centre,Hendrix,40-50,40,50,"4, 9, 12, 15, 40","9, 16, 11, 14, 50",4,9,12,15,40,9,16,11,14,50,"6-18, 4-9 SAA","14-10, 8-5 SAA",02/12/17,Lose,232,No Location Recorded,12 p.m.,A,17,07:20,"FOUL  by SCHAD,OLIVIA",,,,,,,"FOUL  by SCHAD,OLIVIA",1,foul,,Centre,olivia schad,,440
