,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,15,07:38,,,,,"TURNOVER  by MILLER,LAKKEN",,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,458
16,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,16,07:34,"STEAL  by SMITH,JOANNA",,,,,,,"STEAL  by SMITH,JOANNA",1,steal,,covenant,,,454
17,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,17,07:26,"GOOD LAYUP by SMITH,JOANNA(in the paint)",6 (+5),,1,,CCW 6-1 (-5),,"GOOD LAYUP by SMITH,JOANNA(in the paint)",1,layup,good,covenant,joanna smith,2,446
18,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,18,--,"ASSIST  by HALLMARK,KALEY",,,,,,,"ASSIST  by HALLMARK,KALEY",1,assist,,covenant,kaley hallmark,,
19,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,19,07:04,,,,,"TURNOVER  by STEWART,ABIGAIL",,,"TURNOVER  by STEWART,ABIGAIL",1,turnover,,Centre,abigail stewart,,424
20,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,20,06:52,"MISS 3PTR by HALLMARK,KALEY",,,,,,,"MISS 3PTR by HALLMARK,KALEY",1,three pointer,missed,covenant,kaley hallmark,,412
21,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,21,--,"REBOUND OFF by DIRKSE,CLARA",,,,,,,"REBOUND OFF by DIRKSE,CLARA",1,offensive rebound,,covenant,clara dirkse,,
22,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,22,06:42,"MISS 3PTR by DIRKSE,CLARA",,,,,,,"MISS 3PTR by DIRKSE,CLARA",1,three pointer,missed,covenant,clara dirkse,,402
23,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,23,--,"REBOUND OFF by PRICE,RACHEL",,,,,,,"REBOUND OFF by PRICE,RACHEL",1,offensive rebound,,covenant,rachel price,,
24,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,24,06:34,"MISS LAYUP by PRICE,RACHEL",,,,,,,"MISS LAYUP by PRICE,RACHEL",1,layup,missed,covenant,rachel price,,394
25,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,25,--,,,,,"REBOUND DEF by SCHAD,OLIVIA",,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
26,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,26,06:17,,6 (+2),,4,"GOOD 3PTR by MILLER,LAKKEN",CENTRE-W 6-4 (-2),,"GOOD 3PTR by MILLER,LAKKEN",1,three pointer,good,Centre,lakken miller,3,377
27,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,27,--,,,,,"ASSIST  by STEWART,ABIGAIL",,,"ASSIST  by STEWART,ABIGAIL",1,assist,,Centre,abigail stewart,,
28,2,covenant,Covenant,Centre,42-48,42,48,"6, 10, 10, 16, 42","10, 16, 11, 11, 48",6,10,10,16,42,10,16,11,11,48,0-2,2-0,11/18/16,Lose,198,No Location Recorded,7:00 PM,H,28,05:55,"MISS LAYUP by PRICE,RACHEL",,,,,,,"MISS LAYUP by PRICE,RACHEL",1,layup,missed,covenant,rachel price,,355
