,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENW,Away Team Score,Play Team Indicator,Home Team Score,OUW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,1,09:41,,,,,"MISS LAYUP by RANSOM,LAUREN",,,"MISS LAYUP by RANSOM,LAUREN",1,layup,missed,oglethorpe,lauren ransom,,581
2,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,2,09:41,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,581
3,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,3,--,"REBOUND DEF by MILLER,LAKKEN",,,,,,,"REBOUND DEF by MILLER,LAKKEN",1,defensive rebound,,Centre,lakken miller,,
4,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,4,09:40,"TURNOVER  by MILLER,LAKKEN",,,,,,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,580
5,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,5,09:14,,,,,"MISS JUMPER by RANSOM,LAUREN",,,"MISS JUMPER by RANSOM,LAUREN",1,jumper,missed,oglethorpe,lauren ransom,,554
6,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,6,09:14,"BLOCK  by STEWART,ABIGAIL",,,,,,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,554
7,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,7,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
8,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,8,09:06,"TURNOVER  by SCHAD,OLIVIA",,,,,,,"TURNOVER  by SCHAD,OLIVIA",1,turnover,,Centre,olivia schad,,546
9,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,9,09:06,,,,,"STEAL  by CHARLES,BAILEY",,,"STEAL  by CHARLES,BAILEY",1,steal,,oglethorpe,,,546
10,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,10,09:05,,,,,"MISS JUMPER by DYER,KARLYMARIE",,,"MISS JUMPER by DYER,KARLYMARIE",1,jumper,missed,oglethorpe,karlymarie dyer,,545
11,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,11,--,"REBOUND DEF by SCHAD,OLIVIA",,,,,,,"REBOUND DEF by SCHAD,OLIVIA",1,defensive rebound,,Centre,olivia schad,,
12,13,oglethorpe,Centre,Oglethorpe,39-64,39,64,"11, 11, 6, 11, 39","15, 14, 17, 18, 64",11,11,6,11,39,15,14,17,18,64,"3-10, 1-1 SAA","8-5, 2-0 SAA",01/06/17,Lose,106,No Location Recorded,4 p.m.,A,12,08:33,,,,,"FOUL  by FOLTZ,MADI",,,"FOUL  by FOLTZ,MADI",1,foul,,oglethorpe,madi foltz,,513
