,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODESWB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,14,17:55,,6 (+3),,3,"GOOD FT by GUY,ALEXIS",CENTRE_W 6-3 (-3),,"GOOD FT by GUY,ALEXIS",1,free throw,good,Centre,alexis guy,1,1075
15,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,15,17:45,"GOOD LAYUP by AVANT,LAUREN(in the paint)",8 (+5),,3,,RHODESWB 8-3 (-5),,"GOOD LAYUP by AVANT,LAUREN(in the paint)",1,layup,good,rhodes college,lauren avant,2,1065
16,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,16,--,"ASSIST  by DANIELS,SYMONE",,,,,,,"ASSIST  by DANIELS,SYMONE",1,assist,,rhodes college,symone daniels,,
17,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,17,17:25,,,,,"MISS JUMPER by GUY,ALANNA",,,"MISS JUMPER by GUY,ALANNA",1,jumper,missed,Centre,alanna guy,,1045
18,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,18,--,"REBOUND DEF by AVANT,LAUREN",,,,,,,"REBOUND DEF by AVANT,LAUREN",1,defensive rebound,,rhodes college,lauren avant,,
19,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,19,17:20,"TURNOVER  by AVANT,LAUREN",,,,,,,"TURNOVER  by AVANT,LAUREN",1,turnover,,rhodes college,lauren avant,,1040
20,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,20,17:05,,,,,"MISS 3PTR by BAECHLE,PAIGE",,,"MISS 3PTR by BAECHLE,PAIGE",1,three pointer,missed,Centre,paige baechle,,1025
21,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,21,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
22,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,22,17:04,"FOUL  by DANIELS,SYMONE",,,,,,,"FOUL  by DANIELS,SYMONE",1,foul,,rhodes college,symone daniels,,1024
23,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,23,17:01,"FOUL  by AVANT,LAUREN",,,,,,,"FOUL  by AVANT,LAUREN",1,foul,,rhodes college,lauren avant,,1021
24,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,24,17:01,,8 (+4),,4,"GOOD FT by STOUGH,MARY GORDON",CENTRE_W 8-4 (-4),,"GOOD FT by STOUGH,MARY GORDON",1,free throw,good,Centre,mary gordon stough,1,1021
25,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,25,17:01,,,,,"MISS FT by STOUGH,MARY GORDON",,,"MISS FT by STOUGH,MARY GORDON",1,free throw,missed,Centre,mary gordon stough,,1021
26,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,26,--,"REBOUND DEF by TODMAN,DY'NELLE",,,,,,,"REBOUND DEF by TODMAN,DY'NELLE",1,defensive rebound,,rhodes college,dy'nelle todman,,
27,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,27,16:46,"MISS 3PTR by TODMAN,DY'NELLE",,,,,,,"MISS 3PTR by TODMAN,DY'NELLE",1,three pointer,missed,rhodes college,dy'nelle todman,,1006
28,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,28,--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
29,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,29,16:46,"SUB IN by KRAMER,BAILEY",,,,,,,"SUB IN by KRAMER,BAILEY",1,subbing in,,rhodes college,bailey kramer,,1006
30,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,30,16:46,"SUB OUT by DANIELS,SYMONE",,,,,,,"SUB OUT by DANIELS,SYMONE",1,subbing out,,rhodes college,symone daniels,,1006
31,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,31,16:14,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,974
32,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,32,--,"REBOUND DEF by BUTLER,MADISON",,,,,,,"REBOUND DEF by BUTLER,MADISON",1,defensive rebound,,rhodes college,madison butler,,
33,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,33,16:13,,,,,"FOUL  by STOUGH,MARY GORDON",,,"FOUL  by STOUGH,MARY GORDON",1,foul,,Centre,mary gordon stough,,973
34,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,34,16:06,"MISS 3PTR by JOHNSON,SARAH",,,,,,,"MISS 3PTR by JOHNSON,SARAH",1,three pointer,missed,rhodes college,sarah johnson,,966
35,25,rhodes,Rhodes College,Centre College,74-75,74,75,"27, 35, 12, 74","40, 22, 13, 75",27,35,12,74,40,22,13,75,"16-9, 10-4 SAA","21-3, 13-1 SAA",02/23/14,Lose,428,No Location Recorded,1:00 p.m.,H,35,--,,,,,"REBOUND DEF by STOUGH,MARY GORDON",,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
