,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTREW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,15,18:31,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1111
16,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,16,--,"REBOUND DEF by TRIMBLE,MAGGIE",,,,,,,"REBOUND DEF by TRIMBLE,MAGGIE",1,defensive rebound,,berry college,maggie trimble,,
17,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,17,18:31,"GOOD 3PTR by TRIMBLE,MAGGIE",3 (+2),,1,,BCW 3-1 (-2),,"GOOD 3PTR by TRIMBLE,MAGGIE",1,three pointer,good,berry college,maggie trimble,3,1111
18,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,18,--,"ASSIST  by SEGARRA,CHANLIR",,,,,,,"ASSIST  by SEGARRA,CHANLIR",1,assist,,berry college,chanlir segarra,,
19,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,19,18:31,,,,,"MISS LAYUP by BAECHLE,PAIGE",,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1111
20,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,20,--,,,,,"REBOUND OFF by STOUGH,MARY GORDON",,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
21,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,21,18:31,,3,,3,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",CENTREW 3-3 (0),,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",1,layup,good,Centre,mary gordon stough,2,1111
22,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,22,18:31,"TURNOVER  by WALSH,MEGAN",,,,,,,"TURNOVER  by WALSH,MEGAN",1,turnover,,berry college,megan walsh,,1111
23,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,23,18:31,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,1111
24,21,berry,Berry College,Centre College,80-64,80,64,"28, 52, 80","38, 26, 64",28,52,80,38,26,64,"14-7, 8-2 SAA","11-10, 4-6 SAA",02/09/14,Win,295,No Location Recorded,1:00 p.m.,H,24,18:28,"FOUL  by COOK,EMMA",,,,,,,"FOUL  by COOK,EMMA",1,foul,,berry college,emma cook,,1108
