,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,15,17:29,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",5 (+2),,3,,CENTRE_W 5-3 (+2),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,1049
16,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,16,17:03,,,,,"MISS LAYUP by TATE,JAMIE",,,"MISS LAYUP by TATE,JAMIE",1,layup,missed,hendrix,jamie tate,,1023
17,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,17,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
18,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,18,16:54,,,,,"FOUL  by COUGHRAN,KATIE",,,"FOUL  by COUGHRAN,KATIE",1,foul,,hendrix,katie coughran,,1014
19,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,19,16:54,,,,,"SUB IN by HURST,PEYTON",,,"SUB IN by HURST,PEYTON",1,subbing in,,hendrix,peyton hurst,,1014
20,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,20,16:54,,,,,"SUB OUT by NEAL,TAYLOR",,,"SUB OUT by NEAL,TAYLOR",1,subbing out,,hendrix,taylor neal,,1014
21,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,21,16:46,,,,,"FOUL  by COUGHRAN,KATIE",,,"FOUL  by COUGHRAN,KATIE",1,foul,,hendrix,katie coughran,,1006
22,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,22,16:46,"GOOD FT by BAECHLE,PAIGE",6 (+3),,3,,CENTRE_W 6-3 (+3),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,1006
23,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,23,16:46,"GOOD FT by BAECHLE,PAIGE",7 (+4),,3,,CENTRE_W 7-3 (+4),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,1006
24,18,hendrix,Centre,Hendrix,66-49,66,49,"39, 27, 66","20, 29, 49",39,27,66,20,29,49,"12-6, 6-1 SAA","7-11, 1-6 SAA",01/31/14,Win,468,No Location Recorded,6 p.m.,A,24,16:46,,,,,"SUB IN by MCNEILL,KAITLIN",,,"SUB IN by MCNEILL,KAITLIN",1,subbing in,,hendrix,kaitlin mcneill,,1006
