,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,RHODE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,1,19:46,,0,,2 (+2),"GOOD LAYUP by AVANT,LAUREN(in the paint)",RHODE 0-2 (-2),,"GOOD LAYUP by AVANT,LAUREN(in the paint)",1,layup,good,rhodes college,lauren avant,2,1186
2,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,2,19:10,"MISS LAYUP by BAECHLE,PAIGE",,,,,,,"MISS LAYUP by BAECHLE,PAIGE",1,layup,missed,Centre,paige baechle,,1150
3,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,3,--,,,,,"REBOUND DEF by DANIELS,SYMONE",,,"REBOUND DEF by DANIELS,SYMONE",1,defensive rebound,,rhodes college,symone daniels,,
4,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,4,18:59,,,,,"MISS JUMPER by TODMAN,DY'NELLE",,,"MISS JUMPER by TODMAN,DY'NELLE",1,jumper,missed,rhodes college,dy'nelle todman,,1139
5,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,5,--,,,,,"REBOUND OFF by AVANT,LAUREN",,,"REBOUND OFF by AVANT,LAUREN",1,offensive rebound,,rhodes college,lauren avant,,
6,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,6,18:59,,,,,"MISS LAYUP by JOHNSON,SARAH",,,"MISS LAYUP by JOHNSON,SARAH",1,layup,missed,rhodes college,sarah johnson,,1139
7,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,7,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
8,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,8,18:27,,,,,"FOUL  by TODMAN,DY'NELLE",,,"FOUL  by TODMAN,DY'NELLE",1,foul,,rhodes college,dy'nelle todman,,1107
9,19,rhodes,Centre College,Rhodes College,59-66,59,66,"24, 35, 59","25, 41, 66",24,35,59,25,41,66,"12-7, 6-2 SAA","15-3, 7-1 SAA",02/02/14,Lose,491,No Location Recorded,1 p.m.,A,9,18:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1092
