,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,RHODE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,16,--,,,,,"REBOUND OFF by GOODRUM,NATALIE",,,"REBOUND OFF by GOODRUM,NATALIE",1,offensive rebound,,rhodes college,natalie goodrum,,
17,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,17,17:19,,4,,8 (+4),"GOOD 3PTR by JOHNSON,SARAH",RHODE 4-8 (-4),,"GOOD 3PTR by JOHNSON,SARAH",1,three pointer,good,rhodes college,sarah johnson,3,1039
18,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,18,--,,,,,"ASSIST  by AVANT,LAUREN",,,"ASSIST  by AVANT,LAUREN",1,assist,,rhodes college,lauren avant,,
19,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,19,17:15,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,1035
20,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,20,17:02,"GOOD LAYUP by GUY,ALEXIS(in the paint)",6,,8 (+2),,CENTRE 6-8 (-2),,"GOOD LAYUP by GUY,ALEXIS(in the paint)",1,layup,good,Centre,alexis guy,2,1022
21,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,21,16:49,,6,,10 (+4),"GOOD JUMPER by AVANT,LAUREN",RHODE 6-10 (-4),,"GOOD JUMPER by AVANT,LAUREN",1,jumper,good,rhodes college,lauren avant,2,1009
22,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,22,16:33,"TURNOVER  by BAECHLE,PAIGE",,,,,,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,993
23,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,23,16:31,,,,,"STEAL  by TODMAN,DY'NELLE",,,"STEAL  by TODMAN,DY'NELLE",1,steal,,rhodes college,,,991
24,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,24,16:23,,6,,12 (+6),"GOOD LAYUP by AVANT,LAUREN(in the paint)",RHODE 6-12 (-6),,"GOOD LAYUP by AVANT,LAUREN(in the paint)",1,layup,good,rhodes college,lauren avant,2,983
25,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,25,16:14,,,,,"FOUL  by DANIELS,SYMONE",,,"FOUL  by DANIELS,SYMONE",1,foul,,rhodes college,symone daniels,,974
26,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,26,15:48,,,,,"FOUL  by JOHNSON,SARAH",,,"FOUL  by JOHNSON,SARAH",1,foul,,rhodes college,sarah johnson,,948
27,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,27,15:48,"GOOD FT by GUY,ALANNA",7,,12 (+5),,CENTRE 7-12 (-5),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,948
28,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,28,15:48,"GOOD FT by GUY,ALANNA",8,,12 (+4),,CENTRE 8-12 (-4),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,948
29,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,29,15:32,,,,,"MISS 3PTR by TODMAN,DY'NELLE",,,"MISS 3PTR by TODMAN,DY'NELLE",1,three pointer,missed,rhodes college,dy'nelle todman,,932
30,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,30,--,,,,,"REBOUND OFF by GOODRUM,NATALIE",,,"REBOUND OFF by GOODRUM,NATALIE",1,offensive rebound,,rhodes college,natalie goodrum,,
31,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,31,15:21,,,,,"MISS JUMPER by AVANT,LAUREN",,,"MISS JUMPER by AVANT,LAUREN",1,jumper,missed,rhodes college,lauren avant,,921
32,28,rhodes,Centre College,Rhodes College,60-79,60,79,"26, 34, 60","44, 35, 79",26,34,60,44,35,79,18-10,23-3,03/02/14,Lose,921,No Location Recorded,1 p.m.,A,32,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
