,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,14,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
15,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,15,17:53,"FOUL  by CULPEPPER,KENDELLE",,,,,,,"FOUL  by CULPEPPER,KENDELLE",1,foul,,oglethorpe university,kendelle culpepper,,1073
16,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,16,17:53,,2,,5 (+3),"GOOD FT by GUY,ALANNA",CENTRE_W 2-5 (+3),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,1073
17,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,17,17:53,,2,,6 (+4),"GOOD FT by GUY,ALANNA",CENTRE_W 2-6 (+4),,"GOOD FT by GUY,ALANNA",1,free throw,good,Centre,alanna guy,1,1073
18,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,18,17:53,"SUB IN by HUGHES,CIARA",,,,,,,"SUB IN by HUGHES,CIARA",1,subbing in,,oglethorpe university,ciara hughes,,1073
19,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,19,17:53,"SUB OUT by BLECKLEY,ALI",,,,,,,"SUB OUT by BLECKLEY,ALI",1,subbing out,,oglethorpe university,ali bleckley,,1073
20,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,20,17:29,"TURNOVER  by CULPEPPER,KENDELLE",,,,,,,"TURNOVER  by CULPEPPER,KENDELLE",1,turnover,,oglethorpe university,kendelle culpepper,,1049
21,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,21,17:17,,,,,"MISS LAYUP by STOUGH,MARY GORDON",,,"MISS LAYUP by STOUGH,MARY GORDON",1,layup,missed,Centre,mary gordon stough,,1037
22,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,22,--,"REBOUND DEF by HUGHES,CIARA",,,,,,,"REBOUND DEF by HUGHES,CIARA",1,defensive rebound,,oglethorpe university,ciara hughes,,
23,20,oglethorpe,Oglethorpe University,Centre College,50-46,50,46,"25, 25, 50","22, 24, 46",25,25,50,22,24,46,"13-7, 7-2 SAA","4-16, 2-7 SAA",02/07/14,Win,350,No Location Recorded,6:00 p.m.,H,23,17:01,"MISS LAYUP by HUGHES,CIARA",,,,,,,"MISS LAYUP by HUGHES,CIARA",1,layup,missed,oglethorpe university,ciara hughes,,1021
