,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,16,18:23,"GOOD FT by BURGOYNE,JENNY",6 (+6),,0,,TMC 6-0 (-6),,"GOOD FT by BURGOYNE,JENNY",1,free throw,good,thomas more college,jenny burgoyne,1,1103
17,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,17,18:23,"GOOD FT by BURGOYNE,JENNY",7 (+7),,0,,TMC 7-0 (-7),,"GOOD FT by BURGOYNE,JENNY",1,free throw,good,thomas more college,jenny burgoyne,1,1103
18,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,18,18:23,,,,,"SUB IN by GUY,ALEXIS",,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,1103
19,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,19,18:23,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,1103
20,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,20,18:01,"FOUL  by KITCHEN,KATIE",,,,,,,"FOUL  by KITCHEN,KATIE",1,foul,,thomas more college,katie kitchen,,1081
21,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,21,17:57,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1077
22,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,22,17:55,"STEAL  by WAINSCOTT,SYDNI",,,,,,,"STEAL  by WAINSCOTT,SYDNI",1,steal,,thomas more college,,,1075
23,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,23,17:47,"MISS 3PTR by BEASLEY,DEVIN",,,,,,,"MISS 3PTR by BEASLEY,DEVIN",1,three pointer,missed,thomas more college,devin beasley,,1067
24,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,24,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
25,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,25,17:21,,,,,"TURNOVER  by GUY,ALEXIS",,,"TURNOVER  by GUY,ALEXIS",1,turnover,,Centre,alexis guy,,1041
26,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,26,17:21,,,,,"SUB IN by COLLIVER,OLIVIA",,,"SUB IN by COLLIVER,OLIVIA",1,subbing in,,Centre,olivia colliver,,1041
27,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,27,17:21,,,,,"SUB OUT by STOUGH,MARY GORDON",,,"SUB OUT by STOUGH,MARY GORDON",1,subbing out,,Centre,mary gordon stough,,1041
28,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,28,17:07,"GOOD 3PTR by BEASLEY,DEVIN",10 (+10),,0,,TMC 10-0 (-10),,"GOOD 3PTR by BEASLEY,DEVIN",1,three pointer,good,thomas more college,devin beasley,3,1027
29,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,29,16:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,1014
30,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,30,16:42,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,1002
31,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,31,16:41,"STEAL  by WAINSCOTT,SYDNI",,,,,,,"STEAL  by WAINSCOTT,SYDNI",1,steal,,thomas more college,,,1001
32,10,thomas-more,Thomas More College,Centre College,38-73,38,73,"20, 18, 38","41, 32, 73",20,18,38,41,32,73,6-4,10-0,12/30/13,Lose,101,No Location Recorded,7:00 p.m.,H,32,16:31,"MISS 3PTR by BEASLEY,DEVIN",,,,,,,"MISS 3PTR by BEASLEY,DEVIN",1,three pointer,missed,thomas more college,devin beasley,,991
