,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,15,--,,,,,"REBOUND DEF by RANDLE,KELLI",,,"REBOUND DEF by RANDLE,KELLI",1,defensive rebound,,millsapw,kelli randle,,
16,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,16,17:58,,,,,"MISS LAYUP by FREEMAN,KALA",,,"MISS LAYUP by FREEMAN,KALA",1,layup,missed,millsapw,kala freeman,,1078
17,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,17,--,"REBOUND DEF by GUY,ALANNA",,,,,,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
18,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,18,17:51,"MISS 3PTR by HARTLAGE,MAGGIE",,,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,1071
19,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,19,--,,,,,"REBOUND DEF by FREEMAN,KALA",,,"REBOUND DEF by FREEMAN,KALA",1,defensive rebound,,millsapw,kala freeman,,
20,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,20,17:32,,,,,"MISS LAYUP by KLUNK,KIM",,,"MISS LAYUP by KLUNK,KIM",1,layup,missed,millsapw,kim klunk,,1052
21,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,21,--,,,,,"REBOUND OFF by KLUNK,KIM",,,"REBOUND OFF by KLUNK,KIM",1,offensive rebound,,millsapw,kim klunk,,
22,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,22,17:29,,,,,"MISS LAYUP by KLUNK,KIM",,,"MISS LAYUP by KLUNK,KIM",1,layup,missed,millsapw,kim klunk,,1049
23,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,23,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
24,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,24,17:22,"MISS LAYUP by GUY,ALANNA",,,,,,,"MISS LAYUP by GUY,ALANNA",1,layup,missed,Centre,alanna guy,,1042
25,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,25,17:22,,,,,"BLOCK  by JOHNSON,VELVET",,,"BLOCK  by JOHNSON,VELVET",1,block,,millsapw,velvet johnson,,1042
26,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,26,--,"REBOUND OFF by STOUGH,MARY GORDON",,,,,,,"REBOUND OFF by STOUGH,MARY GORDON",1,offensive rebound,,Centre,mary gordon stough,,
27,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,27,17:16,"GOOD 3PTR by HARTLAGE,MAGGIE",3 (+1),,2,,CENTREW 3-2 (+1),,"GOOD 3PTR by HARTLAGE,MAGGIE",1,three pointer,good,Centre,maggie hartlage,3,1036
28,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,28,--,"ASSIST  by STOUGH,MARY GORDON",,,,,,,"ASSIST  by STOUGH,MARY GORDON",1,assist,,Centre,mary gordon stough,,
29,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,29,16:55,,,,,"MISS JUMPER by RANDLE,KELLI",,,"MISS JUMPER by RANDLE,KELLI",1,jumper,missed,millsapw,kelli randle,,1015
30,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,30,--,,,,,"REBOUND OFF by FREEMAN,KALA",,,"REBOUND OFF by FREEMAN,KALA",1,offensive rebound,,millsapw,kala freeman,,
31,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,31,16:51,,,,,"MISS LAYUP by FREEMAN,KALA",,,"MISS LAYUP by FREEMAN,KALA",1,layup,missed,millsapw,kala freeman,,1011
32,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,32,--,"REBOUND DEF by BAECHLE,PAIGE",,,,,,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
33,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,33,16:40,"MISS 3PTR by RHULE,BONNIE",,,,,,,"MISS 3PTR by RHULE,BONNIE",1,three pointer,missed,Centre,bonnie rhule,,1000
34,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,34,--,,,,,"REBOUND DEF by PEREZ,SAM",,,"REBOUND DEF by PEREZ,SAM",1,defensive rebound,,millsapw,sam perez,,
35,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,35,16:25,,3,,4 (+1),"GOOD LAYUP by JOHNSON,VELVET(in the paint)",MILLSAPW 3-4 (-1),,"GOOD LAYUP by JOHNSON,VELVET(in the paint)",1,layup,good,millsapw,velvet johnson,2,985
36,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,36,--,,,,,"ASSIST  by PEREZ,SAM",,,"ASSIST  by PEREZ,SAM",1,assist,,millsapw,sam perez,,
37,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,37,16:07,"TURNOVER  by STOUGH,MARY GORDON",,,,,,,"TURNOVER  by STOUGH,MARY GORDON",1,turnover,,Centre,mary gordon stough,,967
38,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,38,15:51,,,,,"MISS LAYUP by KLUNK,KIM",,,"MISS LAYUP by KLUNK,KIM",1,layup,missed,millsapw,kim klunk,,951
39,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,39,--,,,,,"REBOUND OFF by RANDLE,KELLI",,,"REBOUND OFF by RANDLE,KELLI",1,offensive rebound,,millsapw,kelli randle,,
40,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,40,15:36,,,,,"MISS JUMPER by PEREZ,SAM",,,"MISS JUMPER by PEREZ,SAM",1,jumper,missed,millsapw,sam perez,,936
41,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,41,--,"REBOUND DEF by STOUGH,MARY GORDON",,,,,,,"REBOUND DEF by STOUGH,MARY GORDON",1,defensive rebound,,Centre,mary gordon stough,,
42,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,42,15:23,,,,,"FOUL  by KLUNK,KIM",,,"FOUL  by KLUNK,KIM",1,foul,,millsapw,kim klunk,,923
43,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,43,15:23,"GOOD FT by STOUGH,MARY GORDON",4,,4,,CENTREW 4-4 (0),,"GOOD FT by STOUGH,MARY GORDON",1,free throw,good,Centre,mary gordon stough,1,923
44,23,millsaps,CENTREW,MILLSAPW,58-63,58,63,"29, 29, 58","29, 34, 63",29,29,58,29,34,63,"15-7, 9-2","13-8, 7-4",02/16/14,Lose,No Attendence Recorded,No Location Recorded,NOON,A,44,15:23,"MISS FT by STOUGH,MARY GORDON",,,,,,,"MISS FT by STOUGH,MARY GORDON",1,free throw,missed,Centre,mary gordon stough,,923
