,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,PCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,17,18:20,,,,,"SUB OUT by BARRETT,BRIANNA",,,"SUB OUT by BARRETT,BRIANNA",1,subbing out,,piedmont college,brianna barrett,,1100
18,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,18,18:20,,,,,"SUB OUT by ARENCIBIA,GABBY",,,"SUB OUT by ARENCIBIA,GABBY",1,subbing out,,piedmont college,gabby arencibia,,1100
19,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,19,18:15,"MISS JUMPER by STOUGH,MARY GORDON",,,,,,,"MISS JUMPER by STOUGH,MARY GORDON",1,jumper,missed,Centre,mary gordon stough,,1095
20,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,20,--,,,,,"REBOUND DEF by SWOSZOWSKI,TAYLOR",,,"REBOUND DEF by SWOSZOWSKI,TAYLOR",1,defensive rebound,,piedmont college,taylor swoszowski,,
21,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,21,18:04,,,,,"MISS JUMPER by HAMEL,LAUREN",,,"MISS JUMPER by HAMEL,LAUREN",1,jumper,missed,piedmont college,lauren hamel,,1084
22,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,22,--,"REBOUND DEF by HARTLAGE,MAGGIE",,,,,,,"REBOUND DEF by HARTLAGE,MAGGIE",1,defensive rebound,,Centre,maggie hartlage,,
23,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,23,17:55,"GOOD 3PTR by RHULE,BONNIE",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD 3PTR by RHULE,BONNIE",1,three pointer,good,Centre,bonnie rhule,3,1075
24,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,24,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
25,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,25,17:41,,,,,"MISS JUMPER by HAMEL,LAUREN",,,"MISS JUMPER by HAMEL,LAUREN",1,jumper,missed,piedmont college,lauren hamel,,1061
26,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,26,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
27,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,27,17:23,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1043
28,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,28,--,"REBOUND OFF by BAECHLE,PAIGE",,,,,,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
29,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,29,17:18,,,,,"FOUL  by ALVERSON,CHANDLER",,,"FOUL  by ALVERSON,CHANDLER",1,foul,,piedmont college,chandler alverson,,1038
30,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,30,17:14,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",5 (+5),,0,,CENTRE 5-0 (+5),,"GOOD LAYUP by STOUGH,MARY GORDON(in the paint)",1,layup,good,Centre,mary gordon stough,2,1034
31,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,31,--,"ASSIST  by BAECHLE,PAIGE",,,,,,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
32,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,32,17:01,,,,,"MISS JUMPER by HAMEL,LAUREN",,,"MISS JUMPER by HAMEL,LAUREN",1,jumper,missed,piedmont college,lauren hamel,,1021
33,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,33,--,"REBOUND DEF by GUY,ALANNA",,,,,,,"REBOUND DEF by GUY,ALANNA",1,defensive rebound,,Centre,alanna guy,,
34,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,34,16:46,,,,,"SUB IN by REYES,ELISE",,,"SUB IN by REYES,ELISE",1,subbing in,,piedmont college,elise reyes,,1006
35,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,35,16:46,,,,,"SUB OUT by LEWALLEN,CHARLOTTE",,,"SUB OUT by LEWALLEN,CHARLOTTE",1,subbing out,,piedmont college,charlotte lewallen,,1006
36,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,36,16:32,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",7 (+7),,0,,CENTRE 7-0 (+7),,"GOOD JUMPER by BAECHLE,PAIGE(in the paint)",1,jumper,good,Centre,paige baechle,2,992
37,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,37,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
38,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,38,16:18,,,,,"MISS JUMPER by REYES,ELISE",,,"MISS JUMPER by REYES,ELISE",1,jumper,missed,piedmont college,elise reyes,,978
39,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,39,--,"REBOUND DEF by RHULE,BONNIE",,,,,,,"REBOUND DEF by RHULE,BONNIE",1,defensive rebound,,Centre,bonnie rhule,,
40,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,40,16:00,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,960
41,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,41,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
42,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,42,15:57,"FOUL  by STOUGH,MARY GORDON",,,,,,,"FOUL  by STOUGH,MARY GORDON",1,foul,,Centre,mary gordon stough,,957
43,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,43,15:57,"SUB IN by JUDY,MICHELE",,,,,,,"SUB IN by JUDY,MICHELE",1,subbing in,,Centre,michele judy,,957
44,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,44,15:57,"SUB OUT by BAECHLE,PAIGE",,,,,,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,957
45,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,45,15:57,,,,,"SUB IN by BALL,SYMONE",,,"SUB IN by BALL,SYMONE",1,subbing in,,piedmont college,symone ball,,957
46,1,piedmont,Centre College,Piedmont College,76-73,76,73,"38, 38, 76","41, 32, 73",38,38,76,41,32,73,1-0,0-1,11/16/13,Win,180,No Location Recorded,2:00 PM,A,46,15:57,,,,,"SUB IN by BARRETT,BRIANNA",,,"SUB IN by BARRETT,BRIANNA",1,subbing in,,piedmont college,brianna barrett,,957
