,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,14,08:11,,,,,"FOUL  by MARCUM,MADISON",,,"FOUL  by MARCUM,MADISON",1,foul,,Centre,madison marcum,,491
15,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,15,08:11,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,491
16,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,16,08:11,,,,,"SUB IN by MURRAY,KYLEE",,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,491
17,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,17,08:11,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,491
18,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,18,08:11,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,491
19,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,19,08:00,"MISS JUMPER by MONDAY,HANNAH",,,,,,,"MISS JUMPER by MONDAY,HANNAH",1,jumper,missed,covenant,hannah monday,,480
20,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,20,08:00,,,,,"BLOCK  by RICE,MADISON",,,"BLOCK  by RICE,MADISON",1,block,,Centre,madison rice,,480
21,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,21,--,"REBOUND OFF by HALLMARK,KALEY",,,,,,,"REBOUND OFF by HALLMARK,KALEY",1,offensive rebound,,covenant,kaley hallmark,,
22,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,22,07:56,"MISS 3PTR by SMITH,JOANNA",,,,,,,"MISS 3PTR by SMITH,JOANNA",1,three pointer,missed,covenant,joanna smith,,476
23,2,covenant,Covenant,Centre,70-52,70,52,"12, 17, 25, 16, 70","15, 10, 13, 14, 52",12,17,25,16,70,15,10,13,14,52,2-0,0-2,11/17/18,Win,No Attendence Recorded,No Location Recorded,6:05 p.m.,H,23,--,"REBOUND OFF by HALLMARK,KALEY",,,,,,,"REBOUND OFF by HALLMARK,KALEY",1,offensive rebound,,covenant,kaley hallmark,,
