,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,14,--,,,,,"REBOUND DEF by WEHBY,ABIGAIL",,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
15,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,15,07:46,,,,,"MISS 3PTR by MARCUM,MADISON",,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,466
16,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,16,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,rhodes,,,
17,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,17,07:45,,,,,"SUB IN by MILLER,LAKKEN",,,"SUB IN by MILLER,LAKKEN",1,subbing in,,Centre,lakken miller,,465
18,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,18,07:45,,,,,"SUB OUT by MARCUM,MADISON",,,"SUB OUT by MARCUM,MADISON",1,subbing out,,Centre,madison marcum,,465
19,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,19,07:38,"GOOD LAYUP by WHITESIDE,LINDSEY(in the paint)",4 (+4),,0,,RHODES 4-0 (-4),,"GOOD LAYUP by WHITESIDE,LINDSEY(in the paint)",1,layup,good,rhodes,lindsey whiteside,2,458
20,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,20,07:30,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,450
21,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,21,07:30,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,450
22,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,22,07:29,,4 (+2),,2,"GOOD JUMPER by WILSON,KATHLEEN",CENTRE-W 4-2 (-2),,"GOOD JUMPER by WILSON,KATHLEEN",1,jumper,good,Centre,kathleen wilson,2,449
23,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,23,07:12,"GOOD LAYUP by YOUNG,ALLIE(in the paint)",6 (+4),,2,,RHODES 6-2 (-4),,"GOOD LAYUP by YOUNG,ALLIE(in the paint)",1,layup,good,rhodes,allie young,2,432
24,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,24,--,"ASSIST  by WHITESIDE,LINDSEY",,,,,,,"ASSIST  by WHITESIDE,LINDSEY",1,assist,,rhodes,lindsey whiteside,,
25,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,25,06:58,"FOUL  by DOWNEY,KIERA",,,,,,,"FOUL  by DOWNEY,KIERA",1,foul,,rhodes,kiera downey,,418
26,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,26,06:58,"SUB IN by SUMMERS,DANIELLE",,,,,,,"SUB IN by SUMMERS,DANIELLE",1,subbing in,,rhodes,danielle summers,,418
27,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,27,06:58,"SUB OUT by DOWNEY,KIERA",,,,,,,"SUB OUT by DOWNEY,KIERA",1,subbing out,,rhodes,kiera downey,,418
28,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,28,06:58,,,,,"SUB IN by MORRIS,TAYLOR",,,"SUB IN by MORRIS,TAYLOR",1,subbing in,,Centre,taylor morris,,418
29,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,29,06:58,,,,,"SUB IN by CHIRICO,PRESLEY",,,"SUB IN by CHIRICO,PRESLEY",1,subbing in,,Centre,presley chirico,,418
30,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,30,06:58,,,,,"SUB OUT by WILSON,KATHLEEN",,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,418
31,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,31,06:58,,,,,"SUB OUT by WEHBY,ABIGAIL",,,"SUB OUT by WEHBY,ABIGAIL",1,subbing out,,Centre,abigail wehby,,418
32,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,32,06:50,,,,,"MISS JUMPER by MORRIS,TAYLOR",,,"MISS JUMPER by MORRIS,TAYLOR",1,jumper,missed,Centre,taylor morris,,410
33,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,33,--,,,,,"REBOUND OFF by FEE,MIKAYLA",,,"REBOUND OFF by FEE,MIKAYLA",1,offensive rebound,,Centre,mikayla fee,,
34,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,34,06:44,,,,,"MISS LAYUP by FEE,MIKAYLA",,,"MISS LAYUP by FEE,MIKAYLA",1,layup,missed,Centre,mikayla fee,,404
35,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,35,06:44,"BLOCK  by YOUNG,ALLIE",,,,,,,"BLOCK  by YOUNG,ALLIE",1,block,,rhodes,allie young,,404
36,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,36,--,"REBOUND DEF by YOUNG,ALLIE",,,,,,,"REBOUND DEF by YOUNG,ALLIE",1,defensive rebound,,rhodes,allie young,,
37,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,37,06:29,"SUB IN by MUHAMMAD,MORIAH",,,,,,,"SUB IN by MUHAMMAD,MORIAH",1,subbing in,,rhodes,moriah muhammad,,389
38,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,38,06:29,"SUB OUT by YOUNG,ALLIE",,,,,,,"SUB OUT by YOUNG,ALLIE",1,subbing out,,rhodes,allie young,,389
39,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,39,06:22,"GOOD JUMPER by WHITESIDE,LINDSEY",8 (+6),,2,,RHODES 8-2 (-6),,"GOOD JUMPER by WHITESIDE,LINDSEY",1,jumper,good,rhodes,lindsey whiteside,2,382
40,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,40,--,"ASSIST  by OWENS,ALYSSA",,,,,,,"ASSIST  by OWENS,ALYSSA",1,assist,,rhodes,alyssa owens,,
41,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,41,06:03,,,,,"MISS LAYUP by FEE,MIKAYLA",,,"MISS LAYUP by FEE,MIKAYLA",1,layup,missed,Centre,mikayla fee,,363
42,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,42,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,rhodes,,,
43,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,43,06:01,,,,,"FOUL  by FEE,MIKAYLA",,,"FOUL  by FEE,MIKAYLA",1,foul,,Centre,mikayla fee,,361
44,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,44,06:01,,,,,"SUB IN by STEWART,ABIGAIL",,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,361
