,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,16,07:35,"FOUL  by STEWART,ABIGAIL",,,,,,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,455
17,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,17,07:35,,0,,1 (+1),"GOOD FT by WEEMS,ALEX",BERRY 0-1 (-1),,"GOOD FT by WEEMS,ALEX",1,free throw,good,berry,alex weems,1,455
18,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,18,07:35,,0,,2 (+2),"GOOD FT by WEEMS,ALEX",BERRY 0-2 (-2),,"GOOD FT by WEEMS,ALEX",1,free throw,good,berry,alex weems,1,455
19,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,19,07:35,"SUB IN by FEE,MIKAYLA",,,,,,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,455
20,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,20,07:35,"SUB IN by BUNNER,CHEYENNE",,,,,,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,455
21,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,21,07:35,"SUB OUT by STEWART,ABIGAIL",,,,,,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,455
22,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,22,07:35,"SUB OUT by RICE,MADISON",,,,,,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,455
23,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,23,07:17,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,437
24,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,24,--,,,,,"REBOUND DEF by WEEMS,ALEX",,,"REBOUND DEF by WEEMS,ALEX",1,defensive rebound,,berry,alex weems,,
25,16,berry,Centre,Berry,46-50,46,50,"9, 17, 13, 7, 46","10, 18, 13, 9, 50",9,17,13,7,46,10,18,13,9,50,9-7,5-11,01/13/19,Lose,277,No Location Recorded,1:00 PM,A,25,07:05,,,,,"MISS LAYUP by WEEMS,ALEX",,,"MISS LAYUP by WEEMS,ALEX",1,layup,missed,berry,alex weems,,425
