,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,14,08:15,,,,,"TURNOVER  by MILLER,LAKKEN",,,"TURNOVER  by MILLER,LAKKEN",1,turnover,,Centre,lakken miller,,495
15,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,15,08:13,"STEAL  by FORTENBERRY,DIA",,,,,,,"STEAL  by FORTENBERRY,DIA",1,steal,,millsaps,,,493
16,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,16,08:09,"MISS LAYUP by FORTENBERRY,DIA",,,,,,,"MISS LAYUP by FORTENBERRY,DIA",1,layup,missed,millsaps,dia fortenberry,,489
17,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,17,--,,,,,"REBOUND DEF by BUNNER,CHEYENNE",,,"REBOUND DEF by BUNNER,CHEYENNE",1,defensive rebound,,Centre,cheyenne bunner,,
18,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,18,07:53,,,,,"MISS 3PTR by RICE,MADISON",,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,473
19,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,19,--,,,,,"REBOUND OFF by RICE,MADISON",,,"REBOUND OFF by RICE,MADISON",1,offensive rebound,,Centre,madison rice,,
20,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,20,07:48,,0,,2 (+2),"GOOD LAYUP by RICE,MADISON(in the paint)",CENTRE-W 0-2 (+2),,"GOOD LAYUP by RICE,MADISON(in the paint)",1,layup,good,Centre,madison rice,2,468
21,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,21,07:39,,,,,"FOUL  by WILSON,KATHLEEN",,,"FOUL  by WILSON,KATHLEEN",1,foul,,Centre,kathleen wilson,,459
22,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,22,07:21,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",2,,2,,MIL 2-2 (0),,"GOOD LAYUP by FORTENBERRY,DIA(in the paint)",1,layup,good,millsaps,dia fortenberry,2,441
23,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,23,07:03,,,,,"MISS JUMPER by WILSON,KATHLEEN",,,"MISS JUMPER by WILSON,KATHLEEN",1,jumper,missed,Centre,kathleen wilson,,423
24,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,24,--,"REBOUND DEF by WILSON,ANNA",,,,,,,"REBOUND DEF by WILSON,ANNA",1,defensive rebound,,millsaps,anna wilson,,
25,19,millsaps,Millsaps,Centre,37-56,37,56,"8, 12, 9, 8, 37","10, 20, 11, 15, 56",8,12,9,8,37,10,20,11,15,56,9-10 (2-6 SAA),16-3 (7-1 SAA),01/25/19,Lose,312,No Location Recorded,6:00 PM,H,25,06:51,"MISS LAYUP by BUTLER,MILLICENT",,,,,,,"MISS LAYUP by BUTLER,MILLICENT",1,layup,missed,millsaps,millicent butler,,411
