,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
13,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,13,07:18,"MISS 3PTR by ROTH,KATIE",,,,,,,"MISS 3PTR by ROTH,KATIE",1,three pointer,missed,sewanee,katie roth,,438
14,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,14,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
15,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,15,07:00,"FOUL  by KIM,SUE",,,,,,,"FOUL  by KIM,SUE",1,foul,,sewanee,sue kim,,420
16,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,16,07:00,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,420
17,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,17,07:00,,,,,"SUB IN by BUNNER,CHEYENNE",,,"SUB IN by BUNNER,CHEYENNE",1,subbing in,,Centre,cheyenne bunner,,420
18,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,18,07:00,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,420
19,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,19,07:00,,,,,"SUB OUT by RICE,MADISON",,,"SUB OUT by RICE,MADISON",1,subbing out,,Centre,madison rice,,420
20,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,20,06:50,,,,,"MISS LAYUP by BUNNER,CHEYENNE",,,"MISS LAYUP by BUNNER,CHEYENNE",1,layup,missed,Centre,cheyenne bunner,,410
21,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,21,--,,,,,"REBOUND OFF by BUNNER,CHEYENNE",,,"REBOUND OFF by BUNNER,CHEYENNE",1,offensive rebound,,Centre,cheyenne bunner,,
22,6,sewanee,Sewanee,Centre,53-49,53,49,"15, 12, 10, 16, 53","6, 14, 6, 23, 49",15,12,10,16,53,6,14,6,23,49,5-1 (1-0 SAA),5-5 (0-1 SAA),12/01/18,Win,784,No Location Recorded,1:00 PM,H,22,06:44,,,,,"MISS LAYUP by BUNNER,CHEYENNE",,,"MISS LAYUP by BUNNER,CHEYENNE",1,layup,missed,Centre,cheyenne bunner,,404
