,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,15,16:59,,,,,"BLOCK  by PREWITT,MAGGIE",,,"BLOCK  by PREWITT,MAGGIE",1,block,,Centre,maggie prewitt,,1019
16,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,16,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
17,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,17,16:49,,,,,"MISS LAYUP by HUTER,LAUREN",,,"MISS LAYUP by HUTER,LAUREN",1,layup,missed,Centre,lauren huter,,1009
18,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,18,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
19,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,19,16:47,"SUB IN by ROANE,ANNA",,,,,,,"SUB IN by ROANE,ANNA",1,subbing in,,hendrix college,anna roane,,1007
20,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,20,16:47,"SUB OUT by ROLLER,AVERY",,,,,,,"SUB OUT by ROLLER,AVERY",1,subbing out,,hendrix college,avery roller,,1007
21,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,21,16:45,,2,,7 (+5),"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",CENTRE 2-7 (+5),,"GOOD JUMPER by BENHAM,CHELSEA(in the paint)",1,jumper,good,Centre,chelsea benham,2,1005
22,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,22,16:21,"TURNOVER  by DEVLIN,SAMANTHA",,,,,,,"TURNOVER  by DEVLIN,SAMANTHA",1,turnover,,hendrix college,samantha devlin,,981
23,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,23,16:19,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,979
24,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,24,16:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,Centre,,,979
25,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,25,16:11,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,971
26,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,26,--,"REBOUND DEF by TATE,JAMIE",,,,,,,"REBOUND DEF by TATE,JAMIE",1,defensive rebound,,hendrix college,jamie tate,,
27,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,27,15:48,"MISS LAYUP by BIGGS-SCRIBNER,MAGG",,,,,,,"MISS LAYUP by BIGGS-SCRIBNER,MAGG",1,layup,missed,hendrix college,magg biggs-scribner,,948
28,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,28,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
29,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,29,15:41,"FOUL  by DEVLIN,SAMANTHA",,,,,,,"FOUL  by DEVLIN,SAMANTHA",1,foul,,hendrix college,samantha devlin,,941
30,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,30,15:41,,,,,"MISS FT by PREWITT,MAGGIE",,,"MISS FT by PREWITT,MAGGIE",1,free throw,missed,Centre,maggie prewitt,,941
31,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,31,--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
32,25,hendrix,Hendrix College,Centre College,65-46,65,46,"38, 27, 65","26, 20, 46",38,27,65,26,20,46,22-3,7-19,02/24/12,Win,No Attendence Recorded,No Location Recorded,1:00 PM,H,32,15:41,,2,,8 (+6),"GOOD FT by PREWITT,MAGGIE",CENTRE 2-8 (+6),,"GOOD FT by PREWITT,MAGGIE",1,free throw,good,Centre,maggie prewitt,1,941
