,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,MCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
17,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,17,--,"REBOUND DEF by PAYNE,KIERA",,,,,,,"REBOUND DEF by PAYNE,KIERA",1,defensive rebound,,maryville college,kiera payne,,
18,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,18,17:19,"GOOD LAYUP by SMITH,TAYLER(in the paint)",2 (+2),,0,,MCW 2-0 (-2),,"GOOD LAYUP by SMITH,TAYLER(in the paint)",1,layup,good,maryville college,tayler smith,2,1039
19,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,19,17:19,"MISS JUMPER by J. DAKE,C",,,,,,,"MISS JUMPER by J. DAKE,C",1,jumper,missed,maryville college,c j dake,,1039
20,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,20,--,"REBOUND OFF by SMITH,TAYLER",,,,,,,"REBOUND OFF by SMITH,TAYLER",1,offensive rebound,,maryville college,tayler smith,,
21,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,21,17:16,,2,,3 (+1),"GOOD 3PTR by BURKE,ALYSON",CENTRE_W 2-3 (+1),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1036
22,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,22,16:53,"GOOD LAYUP by SMITH,TAYLER(in the paint)",4 (+1),,3,,MCW 4-3 (-1),,"GOOD LAYUP by SMITH,TAYLER(in the paint)",1,layup,good,maryville college,tayler smith,2,1013
23,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,23,--,"ASSIST  by FARMER,LAILAH",,,,,,,"ASSIST  by FARMER,LAILAH",1,assist,,maryville college,lailah farmer,,
24,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,24,16:39,,4,,5 (+1),"GOOD JUMPER by PREWITT,MAGGIE",CENTRE_W 4-5 (+1),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,999
25,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,25,16:18,"MISS JUMPER by SMITH,TAYLER",,,,,,,"MISS JUMPER by SMITH,TAYLER",1,jumper,missed,maryville college,tayler smith,,978
26,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,26,--,"REBOUND OFF by SMITH,TAYLER",,,,,,,"REBOUND OFF by SMITH,TAYLER",1,offensive rebound,,maryville college,tayler smith,,
27,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,27,16:14,,,,,"FOUL  by WEST,CAILYNN",,,"FOUL  by WEST,CAILYNN",1,foul,,Centre,cailynn west,,974
28,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,28,16:14,"MISS FT by SMITH,TAYLER",,,,,,,"MISS FT by SMITH,TAYLER",1,free throw,missed,maryville college,tayler smith,,974
29,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,29,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
30,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,30,16:14,"MISS FT by SMITH,TAYLER",,,,,,,"MISS FT by SMITH,TAYLER",1,free throw,missed,maryville college,tayler smith,,974
31,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,31,--,,,,,"REBOUND DEF by BURKE,ALYSON",,,"REBOUND DEF by BURKE,ALYSON",1,defensive rebound,,Centre,alyson burke,,
32,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,32,16:14,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,974
33,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,33,16:14,,,,,"SUB OUT by WEST,CAILYNN",,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,974
34,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,34,15:58,,,,,"MISS LAYUP by PREWITT,MAGGIE",,,"MISS LAYUP by PREWITT,MAGGIE",1,layup,missed,Centre,maggie prewitt,,958
35,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,35,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
36,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,36,15:54,,4,,6 (+2),"GOOD FT by BAECHLE,PAIGE",CENTRE_W 4-6 (+2),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,954
37,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,37,15:54,"FOUL  by SMITH,TAYLER",,,,,,,"FOUL  by SMITH,TAYLER",1,foul,,maryville college,tayler smith,,954
38,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,38,15:54,,4,,7 (+3),"GOOD FT by BAECHLE,PAIGE",CENTRE_W 4-7 (+3),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,954
39,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,39,15:54,"TURNOVER  by HEYBOER,TARA",,,,,,,"TURNOVER  by HEYBOER,TARA",1,turnover,,maryville college,tara heyboer,,954
40,1,maryville-tenn-,Maryville College,Centre College,80-60,80,60,"42, 38, 80","32, 28, 60",42,38,80,32,28,60,1-0,0-1,11/15/11,Win,209,No Location Recorded,6:00 AM,H,40,15:54,"SUB IN by BOND,ALEX",,,,,,,"SUB IN by BOND,ALEX",1,subbing in,,maryville college,alex bond,,954
