,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BCW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,1,20:00,"SUB IN by EVANS,ALEXA",,,,,,,"SUB IN by EVANS,ALEXA",1,subbing in,,berry,alexa evans,,1200
2,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,2,20:00,"SUB OUT by SMITH,PILAR",,,,,,,"SUB OUT by SMITH,PILAR",1,subbing out,,berry,pilar smith,,1200
3,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,3,19:56,"MISS LAYUP by SISK,DANIELLE",,,,,,,"MISS LAYUP by SISK,DANIELLE",1,layup,missed,berry,danielle sisk,,1196
4,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,4,19:56,,,,,"BLOCK  by PREWITT,MAGGIE",,,"BLOCK  by PREWITT,MAGGIE",1,block,,Centre,maggie prewitt,,1196
5,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,5,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
6,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,6,19:54,"GOOD LAYUP by SISK,DANIELLE(in the paint)",2 (+2),,0,,BCW 2-0 (-2),,"GOOD LAYUP by SISK,DANIELLE(in the paint)",1,layup,good,berry,danielle sisk,2,1194
7,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,7,--,"ASSIST  by COUGHLAN,BRITTANY",,,,,,,"ASSIST  by COUGHLAN,BRITTANY",1,assist,,berry,brittany coughlan,,
8,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,8,19:36,,,,,"TURNOVER  by BENHAM,CHELSEA",,,"TURNOVER  by BENHAM,CHELSEA",1,turnover,,Centre,chelsea benham,,1176
9,2,berry,Berry,Centre College,87-74,87,74,"44, 43, 87","40, 34, 74",44,43,87,40,34,74,2-0,1-1,11/18/11,Win,323,No Location Recorded,7:00 AM,H,9,19:34,"STEAL  by COUGHLAN,BRITTANY",,,,,,,"STEAL  by COUGHLAN,BRITTANY",1,steal,,berry,,,1174
