,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,1,19:46,,,,,"TURNOVER  by TATE,JAMIE",,,"TURNOVER  by TATE,JAMIE",1,turnover,,hendrix,jamie tate,,1186
2,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,2,19:30,"MISS 3PTR by PREWITT,MAGGIE",,,,,,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,1170
3,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,3,--,"REBOUND OFF by HUTER,LAUREN",,,,,,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
4,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,4,19:24,"TURNOVER  by HUTER,LAUREN",,,,,,,"TURNOVER  by HUTER,LAUREN",1,turnover,,Centre,lauren huter,,1164
5,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,5,19:24,,,,,"STEAL  by ASHLEY-PAULEY,KATY",,,"STEAL  by ASHLEY-PAULEY,KATY",1,steal,,hendrix,,,1164
6,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,6,19:17,"FOUL  by PREWITT,MAGGIE",,,,,,,"FOUL  by PREWITT,MAGGIE",1,foul,,Centre,maggie prewitt,,1157
7,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,7,19:13,,0,,2 (+2),"GOOD LAYUP by DEVLIN,SAMANTHA(in the paint)",HC 0-2 (-2),,"GOOD LAYUP by DEVLIN,SAMANTHA(in the paint)",1,layup,good,hendrix,samantha devlin,2,1153
8,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,8,18:49,"MISS JUMPER by HUTER,LAUREN",,,,,,,"MISS JUMPER by HUTER,LAUREN",1,jumper,missed,Centre,lauren huter,,1129
9,14,hendrix,Centre,Hendrix,70-55,70,55,"27, 43, 70","27, 28, 55",27,43,70,27,28,55,"13-1, 7-0 SCAC","5-10, 4-3 SCAC",01/15/12,Win,155,No Location Recorded,1 p.m.,A,9,--,,,,,"REBOUND DEF by ROANE,ANNA",,,"REBOUND DEF by ROANE,ANNA",1,defensive rebound,,hendrix,anna roane,,
