,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,GC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,16,17:32,,,,,"BLOCK  by PREWITT,MAGGIE",,,"BLOCK  by PREWITT,MAGGIE",1,block,,Centre,maggie prewitt,,1052
17,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,17,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
18,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,18,17:27,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1047
19,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,19,--,"REBOUND DEF by OGLESBY,GABBY",,,,,,,"REBOUND DEF by OGLESBY,GABBY",1,defensive rebound,,guilford college,gabby oglesby,,
20,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,20,17:01,"MISS 3PTR by GIBBS,JAZLYN",,,,,,,"MISS 3PTR by GIBBS,JAZLYN",1,three pointer,missed,guilford college,jazlyn gibbs,,1021
21,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,21,--,,,,,"REBOUND DEF by BENHAM,CHELSEA",,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
22,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,22,16:47,,,,,"MISS JUMPER by PREWITT,MAGGIE",,,"MISS JUMPER by PREWITT,MAGGIE",1,jumper,missed,Centre,maggie prewitt,,1007
23,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,23,--,"REBOUND DEF by NUCCI,JACLYN",,,,,,,"REBOUND DEF by NUCCI,JACLYN",1,defensive rebound,,guilford college,jaclyn nucci,,
24,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,24,16:25,"MISS 3PTR by ATWATER,BRITTANY",,,,,,,"MISS 3PTR by ATWATER,BRITTANY",1,three pointer,missed,guilford college,brittany atwater,,985
25,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,25,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
26,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,26,16:22,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,982
27,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,27,16:22,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,982
28,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,28,16:22,,,,,"SUB IN by GOATLEY,JANE",,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,982
29,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,29,16:22,,,,,"SUB IN by WEST,CAILYNN",,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,982
30,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,30,16:22,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,982
31,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,31,16:22,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,982
32,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,32,16:22,,,,,"SUB OUT by WINSTEAD,BRIDGET",,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,982
33,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,33,16:22,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,982
34,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,34,16:17,"MISS JUMPER by GIBBS,JAZLYN",,,,,,,"MISS JUMPER by GIBBS,JAZLYN",1,jumper,missed,guilford college,jazlyn gibbs,,977
35,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,35,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
36,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,36,16:02,,,,,"TURNOVER  by BAECHLE,PAIGE",,,"TURNOVER  by BAECHLE,PAIGE",1,turnover,,Centre,paige baechle,,962
37,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,37,15:54,"MISS 3PTR by GIBBS,JAZLYN",,,,,,,"MISS 3PTR by GIBBS,JAZLYN",1,three pointer,missed,guilford college,jazlyn gibbs,,954
38,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,38,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
39,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,39,15:43,,,,,"MISS JUMPER by BAECHLE,PAIGE",,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,943
40,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,40,--,,,,,"REBOUND OFF by GOATLEY,JANE",,,"REBOUND OFF by GOATLEY,JANE",1,offensive rebound,,Centre,jane goatley,,
41,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,41,15:39,,,,,"MISS TIPIN by GOATLEY,JANE",,,"MISS TIPIN by GOATLEY,JANE",1,,,,,,939
42,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,42,--,"REBOUND DEF by GIBBS,JAZLYN",,,,,,,"REBOUND DEF by GIBBS,JAZLYN",1,defensive rebound,,guilford college,jazlyn gibbs,,
43,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,43,15:21,"MISS JUMPER by OGLESBY,GABBY",,,,,,,"MISS JUMPER by OGLESBY,GABBY",1,jumper,missed,guilford college,gabby oglesby,,921
44,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,44,15:21,,,,,"BLOCK  by WEST,CAILYNN",,,"BLOCK  by WEST,CAILYNN",1,block,,Centre,cailynn west,,921
45,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,45,--,,,,,"REBOUND DEF by WEST,CAILYNN",,,"REBOUND DEF by WEST,CAILYNN",1,defensive rebound,,Centre,cailynn west,,
46,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,46,15:09,,4 (+1),,3,"GOOD 3PTR by PREWITT,MAGGIE",CENTRE_W 4-3 (-1),,"GOOD 3PTR by PREWITT,MAGGIE",1,three pointer,good,Centre,maggie prewitt,3,909
47,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,47,--,,,,,"ASSIST  by GOATLEY,JANE",,,"ASSIST  by GOATLEY,JANE",1,assist,,Centre,jane goatley,,
48,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,48,14:56,"MISS JUMPER by KING,MORGAN",,,,,,,"MISS JUMPER by KING,MORGAN",1,jumper,missed,guilford college,morgan king,,896
49,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,49,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
50,28,guilford,Guilford College,Centre College,59-47,59,47,"25, 34, 59","30, 17, 47",25,34,59,30,17,47,25-3,22-7,03/02/12,Win,No Attendence Recorded,No Location Recorded,10:00 PM,H,50,14:45,,,,,"MISS LAYUP by WEST,CAILYNN",,,"MISS LAYUP by WEST,CAILYNN",1,layup,missed,Centre,cailynn west,,885
