,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHIT,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
73,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,73,12:46,,,,,"TURNOVER  by WEST,CAILYNN",,,"TURNOVER  by WEST,CAILYNN",1,turnover,,Centre,cailynn west,,766
74,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,74,12:21,"MISS 3PTR by FINNELL,HEATHER",,,,,,,"MISS 3PTR by FINNELL,HEATHER",1,three pointer,missed,rose-hulman,heather finnell,,741
75,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,75,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
76,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,76,11:53,,,,,"TURNOVER  by MIRE,JENNA",,,"TURNOVER  by MIRE,JENNA",1,turnover,,Centre,jenna mire,,713
77,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,77,11:53,"SUB IN by GIBBS,GRACE",,,,,,,"SUB IN by GIBBS,GRACE",1,subbing in,,rose-hulman,grace gibbs,,713
78,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,78,11:53,"SUB OUT by DALTON,JACI",,,,,,,"SUB OUT by DALTON,JACI",1,subbing out,,rose-hulman,jaci dalton,,713
79,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,79,11:48,"TURNOVER  by FINNELL,HEATHER",,,,,,,"TURNOVER  by FINNELL,HEATHER",1,turnover,,rose-hulman,heather finnell,,708
80,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,80,11:46,,,,,"STEAL  by WEST,CAILYNN",,,"STEAL  by WEST,CAILYNN",1,steal,,Centre,,,706
81,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,81,11:41,,6,,24 (+18),"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",CENTRE 6-24 (+18),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,701
82,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,82,11:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,687
83,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,83,11:14,"MISS JUMPER by FINNELL,HEATHER",,,,,,,"MISS JUMPER by FINNELL,HEATHER",1,jumper,missed,rose-hulman,heather finnell,,674
84,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,84,--,,,,,"REBOUND DEF by WEST,CAILYNN",,,"REBOUND DEF by WEST,CAILYNN",1,defensive rebound,,Centre,cailynn west,,
85,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,85,11:04,"FOUL  by WILLIAMS,SHEREE",,,,,,,"FOUL  by WILLIAMS,SHEREE",1,foul,,rose-hulman,sheree williams,,664
86,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,86,11:04,,6,,25 (+19),"GOOD FT by MIRE,JENNA",CENTRE 6-25 (+19),,"GOOD FT by MIRE,JENNA",1,free throw,good,Centre,jenna mire,1,664
87,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,87,11:04,,6,,26 (+20),"GOOD FT by MIRE,JENNA",CENTRE 6-26 (+20),,"GOOD FT by MIRE,JENNA",1,free throw,good,Centre,jenna mire,1,664
88,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,88,11:04,"SUB IN by ROLLINS,CHRIS",,,,,,,"SUB IN by ROLLINS,CHRIS",1,subbing in,,rose-hulman,chris rollins,,664
89,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,89,11:04,"SUB OUT by FINNELL,HEATHER",,,,,,,"SUB OUT by FINNELL,HEATHER",1,subbing out,,rose-hulman,heather finnell,,664
90,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,90,10:58,,,,,"SUB IN by HUTER,LAUREN",,,"SUB IN by HUTER,LAUREN",1,subbing in,,Centre,lauren huter,,658
91,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,91,10:58,,,,,"SUB IN by BENHAM,CHELSEA",,,"SUB IN by BENHAM,CHELSEA",1,subbing in,,Centre,chelsea benham,,658
92,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,92,10:58,,,,,"SUB OUT by WEST,CAILYNN",,,"SUB OUT by WEST,CAILYNN",1,subbing out,,Centre,cailynn west,,658
93,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,93,10:58,,,,,"SUB OUT by BAECHLE,PAIGE",,,"SUB OUT by BAECHLE,PAIGE",1,subbing out,,Centre,paige baechle,,658
94,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,94,10:43,"GOOD LAYUP by FUHS,EMILY(in the paint)",8,,26 (+18),,RHIT 8-26 (+18),,"GOOD LAYUP by FUHS,EMILY(in the paint)",1,layup,good,rose-hulman,emily fuhs,2,643
95,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,95,--,"ASSIST  by ROLLINS,CHRIS",,,,,,,"ASSIST  by ROLLINS,CHRIS",1,assist,,rose-hulman,chris rollins,,
96,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,96,10:24,,,,,"MISS 3PTR by GOATLEY,JANE",,,"MISS 3PTR by GOATLEY,JANE",1,three pointer,missed,Centre,jane goatley,,624
97,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,97,--,"REBOUND DEF by ROLLINS,CHRIS",,,,,,,"REBOUND DEF by ROLLINS,CHRIS",1,defensive rebound,,rose-hulman,chris rollins,,
98,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,98,10:14,,,,,"FOUL  by GOATLEY,JANE",,,"FOUL  by GOATLEY,JANE",1,foul,,Centre,jane goatley,,614
99,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,99,10:14,,,,,"SUB IN by MOORE,HILLARY",,,"SUB IN by MOORE,HILLARY",1,subbing in,,Centre,hillary moore,,614
100,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,100,10:14,,,,,"SUB IN by PREWITT,MAGGIE",,,"SUB IN by PREWITT,MAGGIE",1,subbing in,,Centre,maggie prewitt,,614
101,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,101,10:14,,,,,"SUB OUT by MIRE,JENNA",,,"SUB OUT by MIRE,JENNA",1,subbing out,,Centre,jenna mire,,614
102,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,102,10:14,,,,,"SUB OUT by GOATLEY,JANE",,,"SUB OUT by GOATLEY,JANE",1,subbing out,,Centre,jane goatley,,614
103,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,103,10:05,"MISS JUMPER by GIBBS,GRACE",,,,,,,"MISS JUMPER by GIBBS,GRACE",1,jumper,missed,rose-hulman,grace gibbs,,605
104,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,104,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
105,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,105,09:57,,8,,28 (+20),"GOOD JUMPER by HARTLAGE,MAGGIE",CENTRE 8-28 (+20),,"GOOD JUMPER by HARTLAGE,MAGGIE",1,jumper,good,Centre,maggie hartlage,2,597
106,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,106,09:32,,,,,"FOUL  by BENHAM,CHELSEA",,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,572
107,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,107,09:32,"SUB IN by FINNELL,HEATHER",,,,,,,"SUB IN by FINNELL,HEATHER",1,subbing in,,rose-hulman,heather finnell,,572
108,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,108,09:32,"SUB OUT by WILLIAMS,SHEREE",,,,,,,"SUB OUT by WILLIAMS,SHEREE",1,subbing out,,rose-hulman,sheree williams,,572
109,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,109,09:32,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,572
110,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,110,09:32,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,572
111,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,111,09:27,"TURNOVER  by FUHS,EMILY",,,,,,,"TURNOVER  by FUHS,EMILY",1,turnover,,rose-hulman,emily fuhs,,567
112,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,112,09:25,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,565
113,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,113,09:22,,,,,"MISS LAYUP by HARTLAGE,MAGGIE",,,"MISS LAYUP by HARTLAGE,MAGGIE",1,layup,missed,Centre,maggie hartlage,,562
114,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,114,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
115,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,115,09:18,"FOUL  by FUHS,EMILY",,,,,,,"FOUL  by FUHS,EMILY",1,foul,,rose-hulman,emily fuhs,,558
116,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,116,09:18,,8,,29 (+21),"GOOD FT by BAECHLE,PAIGE",CENTRE 8-29 (+21),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,558
117,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,117,09:18,,8,,30 (+22),"GOOD FT by BAECHLE,PAIGE",CENTRE 8-30 (+22),,"GOOD FT by BAECHLE,PAIGE",1,free throw,good,Centre,paige baechle,1,558
118,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,118,09:10,"TURNOVER  by DICKERSON,ALISA",,,,,,,"TURNOVER  by DICKERSON,ALISA",1,turnover,,rose-hulman,alisa dickerson,,550
119,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,119,09:06,,8,,33 (+25),"GOOD 3PTR by MOORE,HILLARY",CENTRE 8-33 (+25),,"GOOD 3PTR by MOORE,HILLARY",1,three pointer,good,Centre,hillary moore,3,546
120,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,120,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
121,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,121,08:47,"GOOD LAYUP by ROLLINS,CHRIS(in the paint)",10,,33 (+23),,RHIT 10-33 (+23),,"GOOD LAYUP by ROLLINS,CHRIS(in the paint)",1,layup,good,rose-hulman,chris rollins,2,527
122,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,122,08:32,,,,,"MISS JUMPER by HARTLAGE,MAGGIE",,,"MISS JUMPER by HARTLAGE,MAGGIE",1,jumper,missed,Centre,maggie hartlage,,512
123,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,123,--,,,,,"REBOUND OFF by BAECHLE,PAIGE",,,"REBOUND OFF by BAECHLE,PAIGE",1,offensive rebound,,Centre,paige baechle,,
124,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,124,08:27,,,,,"MISS 3PTR by HARTLAGE,MAGGIE",,,"MISS 3PTR by HARTLAGE,MAGGIE",1,three pointer,missed,Centre,maggie hartlage,,507
125,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,125,--,"REBOUND DEF by GIBBS,GRACE",,,,,,,"REBOUND DEF by GIBBS,GRACE",1,defensive rebound,,rose-hulman,grace gibbs,,
126,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,126,08:04,"MISS 3PTR by DICKERSON,ALISA",,,,,,,"MISS 3PTR by DICKERSON,ALISA",1,three pointer,missed,rose-hulman,alisa dickerson,,484
127,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,127,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
128,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,128,07:58,"SUB IN by WILLIAMS,SHEREE",,,,,,,"SUB IN by WILLIAMS,SHEREE",1,subbing in,,rose-hulman,sheree williams,,478
129,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,129,07:58,"SUB OUT by ROLLINS,CHRIS",,,,,,,"SUB OUT by ROLLINS,CHRIS",1,subbing out,,rose-hulman,chris rollins,,478
130,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,130,07:58,,,,,"SUB IN by WINSTEAD,BRIDGET",,,"SUB IN by WINSTEAD,BRIDGET",1,subbing in,,Centre,bridget winstead,,478
131,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,131,07:58,,,,,"SUB IN by BURKE,ALYSON",,,"SUB IN by BURKE,ALYSON",1,subbing in,,Centre,alyson burke,,478
132,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,132,07:58,,,,,"SUB OUT by MOORE,HILLARY",,,"SUB OUT by MOORE,HILLARY",1,subbing out,,Centre,hillary moore,,478
133,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,133,07:58,,,,,"SUB OUT by HARTLAGE,MAGGIE",,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,478
134,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,134,07:46,,,,,"MISS 3PTR by PREWITT,MAGGIE",,,"MISS 3PTR by PREWITT,MAGGIE",1,three pointer,missed,Centre,maggie prewitt,,466
135,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,135,--,"REBOUND DEF by FUHS,EMILY",,,,,,,"REBOUND DEF by FUHS,EMILY",1,defensive rebound,,rose-hulman,emily fuhs,,
136,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,136,07:23,"GOOD 3PTR by WILLIAMS,SHEREE",13,,33 (+20),,RHIT 13-33 (+20),,"GOOD 3PTR by WILLIAMS,SHEREE",1,three pointer,good,rose-hulman,sheree williams,3,443
137,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,137,07:06,,,,,"MISS 3PTR by WINSTEAD,BRIDGET",,,"MISS 3PTR by WINSTEAD,BRIDGET",1,three pointer,missed,Centre,bridget winstead,,426
138,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,138,--,"REBOUND DEF by WILLIAMS,SHEREE",,,,,,,"REBOUND DEF by WILLIAMS,SHEREE",1,defensive rebound,,rose-hulman,sheree williams,,
139,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,139,06:47,"TURNOVER  by DICKERSON,ALISA",,,,,,,"TURNOVER  by DICKERSON,ALISA",1,turnover,,rose-hulman,alisa dickerson,,407
140,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,140,06:45,,,,,"STEAL  by BAECHLE,PAIGE",,,"STEAL  by BAECHLE,PAIGE",1,steal,,Centre,,,405
141,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,141,06:42,,13,,35 (+22),"GOOD JUMPER by PREWITT,MAGGIE",CENTRE 13-35 (+22),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,402
142,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,142,06:32,"TURNOVER  by WILLIAMS,SHEREE",,,,,,,"TURNOVER  by WILLIAMS,SHEREE",1,turnover,,rose-hulman,sheree williams,,392
143,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,143,06:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,392
144,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,144,06:23,,13,,38 (+25),"GOOD 3PTR by PREWITT,MAGGIE",CENTRE 13-38 (+25),,"GOOD 3PTR by PREWITT,MAGGIE",1,three pointer,good,Centre,maggie prewitt,3,383
145,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,145,--,,,,,"ASSIST  by BAECHLE,PAIGE",,,"ASSIST  by BAECHLE,PAIGE",1,assist,,Centre,paige baechle,,
146,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,146,06:13,"MISS JUMPER by FINNELL,HEATHER",,,,,,,"MISS JUMPER by FINNELL,HEATHER",1,jumper,missed,rose-hulman,heather finnell,,373
147,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,147,--,"REBOUND OFF by DICKERSON,ALISA",,,,,,,"REBOUND OFF by DICKERSON,ALISA",1,offensive rebound,,rose-hulman,alisa dickerson,,
148,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,148,05:57,"MISS 3PTR by FINNELL,HEATHER",,,,,,,"MISS 3PTR by FINNELL,HEATHER",1,three pointer,missed,rose-hulman,heather finnell,,357
149,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,149,--,,,,,"REBOUND DEF by BAECHLE,PAIGE",,,"REBOUND DEF by BAECHLE,PAIGE",1,defensive rebound,,Centre,paige baechle,,
