,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHIT,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
16,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,16,17:49,,,,,"STEAL  by HUTER,LAUREN",,,"STEAL  by HUTER,LAUREN",1,steal,,Centre,,,1069
17,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,17,17:43,,2,,7 (+5),"GOOD 3PTR by BURKE,ALYSON",CENTRE 2-7 (+5),,"GOOD 3PTR by BURKE,ALYSON",1,three pointer,good,Centre,alyson burke,3,1063
18,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,18,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
19,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,19,17:14,"GOOD LAYUP by FINNELL,HEATHER(in the paint)",4,,7 (+3),,RHIT 4-7 (+3),,"GOOD LAYUP by FINNELL,HEATHER(in the paint)",1,layup,good,rose-hulman,heather finnell,2,1034
20,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,20,16:45,,,,,"MISS 3PTR by BURKE,ALYSON",,,"MISS 3PTR by BURKE,ALYSON",1,three pointer,missed,Centre,alyson burke,,1005
21,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,21,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
22,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,22,16:41,,4,,9 (+5),"GOOD LAYUP by HUTER,LAUREN(in the paint)",CENTRE 4-9 (+5),,"GOOD LAYUP by HUTER,LAUREN(in the paint)",1,layup,good,Centre,lauren huter,2,1001
23,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,23,16:32,"MISS 3PTR by DICKERSON,ALISA",,,,,,,"MISS 3PTR by DICKERSON,ALISA",1,three pointer,missed,rose-hulman,alisa dickerson,,992
24,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,24,--,,,,,"REBOUND DEF by BENHAM,CHELSEA",,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
25,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,25,16:21,,4,,12 (+8),"GOOD 3PTR by PREWITT,MAGGIE",CENTRE 4-12 (+8),,"GOOD 3PTR by PREWITT,MAGGIE",1,three pointer,good,Centre,maggie prewitt,3,981
26,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,26,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
27,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,27,15:59,"MISS JUMPER by ROLLINS,CHRIS",,,,,,,"MISS JUMPER by ROLLINS,CHRIS",1,jumper,missed,rose-hulman,chris rollins,,959
28,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,28,15:59,,,,,"BLOCK  by HUTER,LAUREN",,,"BLOCK  by HUTER,LAUREN",1,block,,Centre,lauren huter,,959
29,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,29,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
30,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,30,15:54,,4,,14 (+10),"GOOD LAYUP by BURKE,ALYSON(in the paint)",CENTRE 4-14 (+10),,"GOOD LAYUP by BURKE,ALYSON(in the paint)",1,layup,good,Centre,alyson burke,2,954
31,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,31,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
32,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,32,15:46,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1,timeout,,Centre,,,946
33,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,33,15:46,"SUB IN by FUHS,EMILY",,,,,,,"SUB IN by FUHS,EMILY",1,subbing in,,rose-hulman,emily fuhs,,946
34,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,34,15:46,"SUB OUT by GIBBS,GRACE",,,,,,,"SUB OUT by GIBBS,GRACE",1,subbing out,,rose-hulman,grace gibbs,,946
35,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,35,15:46,,,,,"SUB IN by BAECHLE,PAIGE",,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,946
36,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,36,15:46,,,,,"SUB IN by HARTLAGE,MAGGIE",,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,946
37,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,37,15:46,,,,,"SUB OUT by BENHAM,CHELSEA",,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,946
38,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,38,15:46,,,,,"SUB OUT by BURKE,ALYSON",,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,946
39,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,39,15:29,"MISS JUMPER by FUHS,EMILY",,,,,,,"MISS JUMPER by FUHS,EMILY",1,jumper,missed,rose-hulman,emily fuhs,,929
40,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,40,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
41,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,41,15:22,,4,,16 (+12),"GOOD JUMPER by BAECHLE,PAIGE",CENTRE 4-16 (+12),,"GOOD JUMPER by BAECHLE,PAIGE",1,jumper,good,Centre,paige baechle,2,922
42,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,42,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
43,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,43,15:07,"MISS JUMPER by DICKERSON,ALISA",,,,,,,"MISS JUMPER by DICKERSON,ALISA",1,jumper,missed,rose-hulman,alisa dickerson,,907
44,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,44,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
45,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,45,14:56,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,896
46,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,46,14:56,"STEAL  by FINNELL,HEATHER",,,,,,,"STEAL  by FINNELL,HEATHER",1,steal,,rose-hulman,,,896
47,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,47,14:56,"SUB IN by DALTON,JACI",,,,,,,"SUB IN by DALTON,JACI",1,subbing in,,rose-hulman,jaci dalton,,896
48,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,48,14:56,"SUB OUT by ROLLINS,CHRIS",,,,,,,"SUB OUT by ROLLINS,CHRIS",1,subbing out,,rose-hulman,chris rollins,,896
49,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,49,14:56,,,,,"SUB IN by WEST,CAILYNN",,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,896
50,3,rose-hulman,Rose-Hulman,Centre,84-44,84,44,"46, 38, 84","19, 25, 44",46,38,84,19,25,44,3-0,0-2,11/19/11,Win,185,No Location Recorded,7:00 PM,H,50,14:56,,,,,"SUB OUT by HUTER,LAUREN",,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,896
