,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTREW,Away Team Score,Play Team Indicator,Home Team Score,WSEW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,15,--,,,,,"REBOUND DEF by SEWELL,KAYLA",,,"REBOUND DEF by SEWELL,KAYLA",1,defensive rebound,,sewanee,kayla sewell,,
16,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,16,18:24,,,,,"MISS LAYUP by MIDDLETON,DANA",,,"MISS LAYUP by MIDDLETON,DANA",1,layup,missed,sewanee,dana middleton,,1104
17,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,17,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,sewanee,,,
18,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,18,18:10,,,,,"MISS 3PTR by MIDDLETON,DANA",,,"MISS 3PTR by MIDDLETON,DANA",1,three pointer,missed,sewanee,dana middleton,,1090
19,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,19,--,,,,,"REBOUND OFF by SEWELL,KAYLA",,,"REBOUND OFF by SEWELL,KAYLA",1,offensive rebound,,sewanee,kayla sewell,,
20,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,20,18:03,,2,,2,"GOOD JUMPER by GINSBURG,ALEX(in the paint)",WSEW 2-2 (0),,"GOOD JUMPER by GINSBURG,ALEX(in the paint)",1,jumper,good,sewanee,alex ginsburg,2,1083
21,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,21,--,,,,,"ASSIST  by SEWELL,KAYLA",,,"ASSIST  by SEWELL,KAYLA",1,assist,,sewanee,kayla sewell,,
22,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,22,17:55,,,,,"FOUL  by GINSBURG,ALEX",,,"FOUL  by GINSBURG,ALEX",1,foul,,sewanee,alex ginsburg,,1075
23,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,23,17:55,"MISS FT by HUTER,LAUREN",,,,,,,"MISS FT by HUTER,LAUREN",1,free throw,missed,Centre,lauren huter,,1075
24,12,sewanee,Centre College,Sewanee,68-43,68,43,"29, 39, 68","24, 19, 43",29,39,68,24,19,43,"11-1, 5-0 SCAC","7-5, 2-3 SCAC",01/07/12,Win,54,No Location Recorded,1:00 p.m.,A,24,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,Centre,,,
