,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,CCW,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
14,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,14,18:03,"SUB IN by WEST,CAILYNN",,,,,,,"SUB IN by WEST,CAILYNN",1,subbing in,,Centre,cailynn west,,1083
15,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,15,18:03,"SUB IN by GOATLEY,JANE",,,,,,,"SUB IN by GOATLEY,JANE",1,subbing in,,Centre,jane goatley,,1083
16,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,16,18:03,"SUB IN by HARTLAGE,MAGGIE",,,,,,,"SUB IN by HARTLAGE,MAGGIE",1,subbing in,,Centre,maggie hartlage,,1083
17,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,17,18:03,"SUB OUT by BURKE,ALYSON",,,,,,,"SUB OUT by BURKE,ALYSON",1,subbing out,,Centre,alyson burke,,1083
18,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,18,18:03,"SUB OUT by WINSTEAD,BRIDGET",,,,,,,"SUB OUT by WINSTEAD,BRIDGET",1,subbing out,,Centre,bridget winstead,,1083
19,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,19,18:03,"SUB OUT by HUTER,LAUREN",,,,,,,"SUB OUT by HUTER,LAUREN",1,subbing out,,Centre,lauren huter,,1083
20,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,20,17:46,"FOUL  by BENHAM,CHELSEA",,,,,,,"FOUL  by BENHAM,CHELSEA",1,foul,,Centre,chelsea benham,,1066
21,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,21,17:46,,2,,3 (+1),"GOOD FT by LUETJEN,BECKY",CCW 2-3 (-1),,"GOOD FT by LUETJEN,BECKY",1,free throw,good,colorado college,becky luetjen,1,1066
22,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,22,17:46,,2,,4 (+2),"GOOD FT by LUETJEN,BECKY",CCW 2-4 (-2),,"GOOD FT by LUETJEN,BECKY",1,free throw,good,colorado college,becky luetjen,1,1066
23,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,23,17:46,"SUB IN by BAECHLE,PAIGE",,,,,,,"SUB IN by BAECHLE,PAIGE",1,subbing in,,Centre,paige baechle,,1066
24,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,24,17:46,"SUB OUT by BENHAM,CHELSEA",,,,,,,"SUB OUT by BENHAM,CHELSEA",1,subbing out,,Centre,chelsea benham,,1066
25,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,25,17:34,"GOOD JUMPER by PREWITT,MAGGIE",4,,4,,CENTRE_W 4-4 (0),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,1054
26,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,26,17:10,,,,,"MISS 3PTR by STEPHENSON,JORDY",,,"MISS 3PTR by STEPHENSON,JORDY",1,three pointer,missed,colorado college,jordy stephenson,,1030
27,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,27,--,"REBOUND DEF by WEST,CAILYNN",,,,,,,"REBOUND DEF by WEST,CAILYNN",1,defensive rebound,,Centre,cailynn west,,
28,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,28,16:50,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,1010
29,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,29,--,,,,,"REBOUND DEF by STEPHENSON,JORDY",,,"REBOUND DEF by STEPHENSON,JORDY",1,defensive rebound,,colorado college,jordy stephenson,,
30,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,30,16:30,,4,,6 (+2),"GOOD JUMPER by TYUS,COURTNEY",CCW 4-6 (-2),,"GOOD JUMPER by TYUS,COURTNEY",1,jumper,good,colorado college,courtney tyus,2,990
31,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,31,--,,,,,"ASSIST  by RENNECKER,GRACIE",,,"ASSIST  by RENNECKER,GRACIE",1,assist,,colorado college,gracie rennecker,,
32,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,32,16:08,"MISS JUMPER by BAECHLE,PAIGE",,,,,,,"MISS JUMPER by BAECHLE,PAIGE",1,jumper,missed,Centre,paige baechle,,968
33,13,colorado-col-,Centre College,Colorado College,72-68,72,68,"31, 41, 72","37, 31, 68",31,41,72,37,31,68,"12-1, 6-0 SCAC","8-7, 4-2 SCAC",01/13/12,Win,149,No Location Recorded,6 p.m.,A,33,16:08,,,,,"BLOCK  by LUETJEN,BECKY",,,"BLOCK  by LUETJEN,BECKY",1,block,,colorado college,becky luetjen,,968
