,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RCWBB12,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
15,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,15,17:32,,,,,"FOUL  by PREWITT,MAGGIE",,,"FOUL  by PREWITT,MAGGIE",1,foul,,Centre,maggie prewitt,,1052
16,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,16,17:18,"MISS JUMPER by AVANT,LAUREN",,,,,,,"MISS JUMPER by AVANT,LAUREN",1,jumper,missed,rhodes,lauren avant,,1038
17,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,17,--,"REBOUND OFF by HANDELMAN,AMY",,,,,,,"REBOUND OFF by HANDELMAN,AMY",1,offensive rebound,,rhodes,amy handelman,,
18,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,18,17:14,"MISS LAYUP by HANDELMAN,AMY",,,,,,,"MISS LAYUP by HANDELMAN,AMY",1,layup,missed,rhodes,amy handelman,,1034
19,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,19,--,,,,,"REBOUND DEF by HUTER,LAUREN",,,"REBOUND DEF by HUTER,LAUREN",1,defensive rebound,,Centre,lauren huter,,
20,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,20,17:05,"FOUL  by JOHNSON,SARAH",,,,,,,"FOUL  by JOHNSON,SARAH",1,foul,,rhodes,sarah johnson,,1025
21,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,21,17:04,,2,,6 (+4),"GOOD JUMPER by PREWITT,MAGGIE",CENTRE_W 2-6 (+4),,"GOOD JUMPER by PREWITT,MAGGIE",1,jumper,good,Centre,maggie prewitt,2,1024
22,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,22,--,,,,,"ASSIST  by BURKE,ALYSON",,,"ASSIST  by BURKE,ALYSON",1,assist,,Centre,alyson burke,,
23,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,23,16:44,"MISS JUMPER by BELL,SHARWIL",,,,,,,"MISS JUMPER by BELL,SHARWIL",1,jumper,missed,rhodes,sharwil bell,,1004
24,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,24,--,,,,,"REBOUND DEF by PREWITT,MAGGIE",,,"REBOUND DEF by PREWITT,MAGGIE",1,defensive rebound,,Centre,maggie prewitt,,
25,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,25,16:27,,,,,"MISS LAYUP by BENHAM,CHELSEA",,,"MISS LAYUP by BENHAM,CHELSEA",1,layup,missed,Centre,chelsea benham,,987
26,24,rhodes,Rhodes,Centre College,56-58,56,58,"33, 23, 56","21, 37, 58",33,23,56,21,37,58,"21-3, 14-2 SCAC","17-7, 10-5 SCAC",02/19/12,Lose,543,No Location Recorded,1:00 p.m.,H,26,--,,,,,"REBOUND OFF by HUTER,LAUREN",,,"REBOUND OFF by HUTER,LAUREN",1,offensive rebound,,Centre,lauren huter,,
