,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,OUW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,1,19:42,,,,,"MISS 3PTR by BENHAM,CHELSEA",,,"MISS 3PTR by BENHAM,CHELSEA",1,three pointer,missed,Centre,chelsea benham,,1182
2,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,2,--,"REBOUND DEF by WEEKS,KATIE",,,,,,,"REBOUND DEF by WEEKS,KATIE",1,defensive rebound,,oglethorpe universit,katie weeks,,
3,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,3,19:25,"TURNOVER  by JONES,SARAH",,,,,,,"TURNOVER  by JONES,SARAH",1,turnover,,oglethorpe universit,sarah jones,,1165
4,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,4,19:22,,,,,"STEAL  by PREWITT,MAGGIE",,,"STEAL  by PREWITT,MAGGIE",1,steal,,Centre,,,1162
5,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,5,19:09,,,,,"TURNOVER  by PREWITT,MAGGIE",,,"TURNOVER  by PREWITT,MAGGIE",1,turnover,,Centre,maggie prewitt,,1149
6,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,6,18:45,"MISS JUMPER by JENKINS,KYANA",,,,,,,"MISS JUMPER by JENKINS,KYANA",1,jumper,missed,oglethorpe universit,kyana jenkins,,1125
7,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,7,--,,,,,"REBOUND DEF by BENHAM,CHELSEA",,,"REBOUND DEF by BENHAM,CHELSEA",1,defensive rebound,,Centre,chelsea benham,,
8,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,8,18:36,,0,,3 (+3),"GOOD 3PTR by WINSTEAD,BRIDGET",CENTRE_W 0-3 (+3),,"GOOD 3PTR by WINSTEAD,BRIDGET",1,three pointer,good,Centre,bridget winstead,3,1116
9,9,oglethorpe,Oglethorpe Universit,Centre College,77-71,77,71,"29, 48, 77","37, 34, 71",29,48,77,37,34,71,"8-1, 4-0 SCAC","3-7, 0-3 SCAC",12/18/11,Win,201,No Location Recorded,3:00 p.m.,H,9,--,,,,,"ASSIST  by PREWITT,MAGGIE",,,"ASSIST  by PREWITT,MAGGIE",1,assist,,Centre,maggie prewitt,,
